# Matrix: me2010
# Path: /home/stu1/Dataset/training_dataset/50k-200k-0.001/me2010.mtx
# Category: 50k-200k-0.001
# Date: 2026-03-09 12:17:04
# Configs: 81 (9 tiles x 9 TC thresholds)
# Version: AdaSpGEMM_new
#
# Rows: 69518
# Cols: 69518
# NNZ(A): 335476
# NNZ(C) estimate: 2363456
#
tile_m tile_n tc_frc tc     | step1_ms  step2_ms  step3_ms  malloc    total_ms     gflops    | n_tiny   n_sml    n_lrg    n_dns    n_ful    | th_lrg tiles_C        nnzC         error   
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
8      8      0      0/8    | 0.30      5.98      1.83      0.88      9.01         0.52      | 593784   0        0        23218    0        | 1      2346204        1609346      -       
8      8      1      1/8    | 0.30      5.98      1.82      0.88      9.01         0.52      | 593784   0        0        23218    0        | 8      2346204        1609346      -       
8      8      2      2/8    | 0.30      6.31      1.57      0.85      9.04         0.52      | 593784   0        21059    2159     0        | 16     2346204        1609346      -       
8      8      3      3/8    | 0.30      6.17      1.57      0.88      8.94         0.53      | 593784   0        23007    211      0        | 24     2346204        1609346      -       
8      8      4      4/8    | 0.32      6.31      1.60      0.89      9.13         0.52      | 593784   0        23181    37       0        | 32     2346204        1609346      -       
8      8      5      5/8    | 0.30      6.10      1.57      0.86      8.86         0.53      | 593784   0        23217    1        0        | 40     2346204        1609346      -       
8      8      6      6/8    | 0.31      6.00      1.58      0.91      8.81         0.54      | 593784   0        23217    1        0        | 48     2346204        1609346      -       
8      8      7      7/8    | 0.31      6.22      1.56      0.86      8.97         0.53      | 593784   0        23218    0        0        | 56     2346204        1609346      -       
8      8      8      8/8    | 0.32      6.28      1.57      0.90      9.09         0.52      | 593784   0        23218    0        0        | 64     2346204        1609346      -       
8      16     0      0/8    | 0.37      9.20      2.21      0.94      12.74        0.37      | 593784   0        0        23218    0        | 1      3614088        1609346      -       
8      16     1      1/8    | 0.39      9.26      2.22      0.94      12.83        0.37      | 593784   0        0        23218    0        | 8      3614088        1609346      -       
8      16     2      2/8    | 0.39      9.12      1.85      0.93      12.31        0.38      | 593784   0        21059    2159     0        | 16     3614088        1609346      -       
8      16     3      3/8    | 0.40      9.16      1.84      0.96      12.38        0.38      | 593784   0        23007    211      0        | 24     3614088        1609346      -       
8      16     4      4/8    | 0.40      9.32      1.86      0.95      12.54        0.38      | 593784   0        23181    37       0        | 32     3614088        1609346      -       
8      16     5      5/8    | 0.39      9.23      1.84      0.99      12.47        0.38      | 593784   0        23217    1        0        | 40     3614088        1609346      -       
8      16     6      6/8    | 0.38      9.26      1.84      0.94      12.43        0.38      | 593784   0        23217    1        0        | 48     3614088        1609346      -       
8      16     7      7/8    | 0.39      9.15      1.85      0.94      12.35        0.38      | 593784   0        23218    0        0        | 56     3614088        1609346      -       
8      16     8      8/8    | 0.38      9.57      1.84      0.93      12.73        0.37      | 593784   0        23218    0        0        | 64     3614088        1609346      -       
8      32     0      0/8    | 0.52      13.23     2.95      0.97      17.68        0.27      | 593784   0        0        23218    0        | 1      5199752        1609346      -       
8      32     1      1/8    | 0.53      13.68     2.96      0.99      18.17        0.26      | 593784   0        0        23218    0        | 8      5199752        1609346      -       
8      32     2      2/8    | 0.52      13.12     2.12      1.00      16.78        0.28      | 593784   0        21059    2159     0        | 16     5199752        1609346      -       
8      32     3      3/8    | 0.50      13.08     2.07      1.00      16.67        0.28      | 593784   0        23007    211      0        | 24     5199752        1609346      -       
8      32     4      4/8    | 0.51      13.71     2.08      0.98      17.30        0.27      | 593784   0        23181    37       0        | 32     5199752        1609346      -       
8      32     5      5/8    | 0.53      13.74     2.00      1.01      17.30        0.27      | 593784   0        23217    1        0        | 40     5199752        1609346      -       
8      32     6      6/8    | 0.54      13.20     2.00      0.99      16.75        0.28      | 593784   0        23217    1        0        | 48     5199752        1609346      -       
8      32     7      7/8    | 0.52      13.19     1.97      0.99      16.68        0.28      | 593784   0        23218    0        0        | 56     5199752        1609346      -       
