# Matrix: p2p-Gnutella31
# Path: /home/stu1/Dataset/training_dataset/50k-200k-0.001/p2p-Gnutella31.mtx
# Category: 50k-200k-0.001
# Date: 2026-03-09 12:18:33
# Configs: 81 (9 tiles x 9 TC thresholds)
# Version: AdaSpGEMM_new
#
# Rows: 62586
# Cols: 62586
# NNZ(A): 147892
# NNZ(C) estimate: 538318
#
tile_m tile_n tc_frc tc     | step1_ms  step2_ms  step3_ms  malloc    total_ms     gflops    | n_tiny   n_sml    n_lrg    n_dns    n_ful    | th_lrg tiles_C        nnzC         error   
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
8      8      0      0/8    | 0.21      3.87      0.42      0.80      5.31         0.20      | 360982   0        0        57       0        | 1      1446428        537601       -       
8      8      1      1/8    | 0.22      3.94      0.42      0.80      5.38         0.20      | 360982   0        0        57       0        | 8      1446428        537601       -       
8      8      2      2/8    | 0.21      3.96      0.41      0.82      5.42         0.20      | 360982   0        57       0        0        | 16     1446428        537601       -       
8      8      3      3/8    | 0.20      3.96      0.41      0.79      5.37         0.20      | 360982   0        57       0        0        | 24     1446428        537601       -       
8      8      4      4/8    | 0.20      3.86      0.41      0.78      5.25         0.21      | 360982   0        57       0        0        | 32     1446428        537601       -       
8      8      5      5/8    | 0.20      3.90      0.41      0.80      5.32         0.20      | 360982   0        57       0        0        | 40     1446428        537601       -       
8      8      6      6/8    | 0.21      3.95      0.41      0.81      5.38         0.20      | 360982   0        57       0        0        | 48     1446428        537601       -       
8      8      7      7/8    | 0.21      3.95      0.41      0.82      5.40         0.20      | 360982   0        57       0        0        | 56     1446428        537601       -       
8      8      8      8/8    | 0.21      3.88      0.41      0.81      5.31         0.20      | 360982   0        57       0        0        | 64     1446428        537601       -       
8      16     0      0/8    | 0.25      6.77      0.51      0.91      8.46         0.13      | 360982   0        0        57       0        | 1      2563798        537601       -       
8      16     1      1/8    | 0.26      6.76      0.51      0.90      8.44         0.13      | 360982   0        0        57       0        | 8      2563798        537601       -       
8      16     2      2/8    | 0.26      6.71      0.51      0.90      8.39         0.13      | 360982   0        57       0        0        | 16     2563798        537601       -       
8      16     3      3/8    | 0.25      6.69      0.50      0.90      8.36         0.13      | 360982   0        57       0        0        | 24     2563798        537601       -       
8      16     4      4/8    | 0.27      6.91      0.51      0.93      8.63         0.12      | 360982   0        57       0        0        | 32     2563798        537601       -       
8      16     5      5/8    | 0.27      6.80      0.51      0.91      8.51         0.13      | 360982   0        57       0        0        | 40     2563798        537601       -       
8      16     6      6/8    | 0.26      6.74      0.51      0.89      8.41         0.13      | 360982   0        57       0        0        | 48     2563798        537601       -       
8      16     7      7/8    | 0.28      6.84      0.51      0.93      8.57         0.13      | 360982   0        57       0        0        | 56     2563798        537601       -       
8      16     8      8/8    | 0.26      6.66      0.51      0.91      8.35         0.13      | 360982   0        57       0        0        | 64     2563798        537601       -       
8      32     0      0/8    | 0.39      11.69     0.56      0.94      13.58        0.08      | 360982   0        0        57       0        | 1      4585127        537601       -       
8      32     1      1/8    | 0.38      11.71     0.56      0.93      13.58        0.08      | 360982   0        0        57       0        | 8      4585127        537601       -       
