# Matrix: rajat26
# Path: /home/stu1/Dataset/training_dataset/50k-200k-0.001/rajat26.mtx
# Category: 50k-200k-0.001
# Date: 2026-03-09 12:19:21
# Configs: 81 (9 tiles x 9 TC thresholds)
# Version: AdaSpGEMM_new
#
# Rows: 51032
# Cols: 51032
# NNZ(A): 249302
# NNZ(C) estimate: 27217479
#
tile_m tile_n tc_frc tc     | step1_ms  step2_ms  step3_ms  malloc    total_ms     gflops    | n_tiny   n_sml    n_lrg    n_dns    n_ful    | th_lrg tiles_C        nnzC         error   
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
8      8      0      0/8    | 0.70      5.24      5.47      1.05      12.47        4.37      | 317774   0        0        876476   5949     | 1      1994376        25854069     -       
8      8      1      1/8    | 0.68      5.31      5.42      1.04      12.46        4.37      | 317774   0        0        876476   5949     | 8      1994376        25854069     -       
8      8      2      2/8    | 0.69      5.36      5.31      1.09      12.46        4.37      | 317774   0        230068   646408   5949     | 16     1994376        25854069     -       
8      8      3      3/8    | 0.71      5.21      5.23      1.05      12.20        4.46      | 317774   0        422310   454166   5949     | 24     1994376        25854069     -       
8      8      4      4/8    | 0.71      5.42      4.99      1.04      12.16        4.48      | 317774   0        590190   286286   5949     | 32     1994376        25854069     -       
8      8      5      5/8    | 0.71      5.20      4.49      1.04      11.45        4.75      | 317774   0        737078   139398   5949     | 40     1994376        25854069     -       
8      8      6      6/8    | 0.69      5.33      4.23      1.04      11.30        4.82      | 317774   0        844966   31510    5949     | 48     1994376        25854069     -       
8      8      7      7/8    | 0.68      5.21      4.12      1.04      11.07        4.92      | 317774   0        875607   869      5949     | 56     1994376        25854069     -       
8      8      8      8/8    | 0.71      5.45      3.78      1.09      11.03        4.93      | 317774   0        882425   0        0        | 64     1994376        25854069     -       
8      16     0      0/8    | 0.47      5.42      5.81      1.03      12.74        4.27      | 317774   0        0        876476   5949     | 1      2063757        25854069     -       
8      16     1      1/8    | 0.47      5.54      5.71      1.02      12.75        4.27      | 317774   0        0        876476   5949     | 8      2063757        25854069     -       
8      16     2      2/8    | 0.47      5.47      5.49      1.04      12.48        4.36      | 317774   0        230068   646408   5949     | 16     2063757        25854069     -       
8      16     3      3/8    | 0.49      5.57      5.35      1.07      12.49        4.36      | 317774   0        422310   454166   5949     | 24     2063757        25854069     -       
8      16     4      4/8    | 0.48      5.49      4.80      1.04      11.82        4.60      | 317774   0        590190   286286   5949     | 32     2063757        25854069     -       
8      16     5      5/8    | 0.49      5.47      4.27      1.05      11.28        4.82      | 317774   0        737078   139398   5949     | 40     2063757        25854069     -       
8      16     6      6/8    | 0.45      5.45      4.05      1.03      10.99        4.95      | 317774   0        844966   31510    5949     | 48     2063757        25854069     -       
8      16     7      7/8    | 0.47      5.50      4.08      1.05      11.12        4.90      | 317774   0        875607   869      5949     | 56     2063757        25854069     -       
8      16     8      8/8    | 0.46      5.43      2.90      1.03      9.83         5.54      | 317774   0        882425   0        0        | 64     2063757        25854069     -       
8      32     0      0/8    | 0.35      5.82      6.73      1.05      13.96        3.90      | 317774   0        0        876476   5949     | 1      2165948        25854069     -       
8      32     1      1/8    | 0.38      5.75      7.21      1.07      14.42        3.78      | 317774   0        0        876476   5949     | 8      2165948        25854069     -       
8      32     2      2/8    | 0.35      5.63      6.21      1.05      13.26        4.11      | 317774   0        230068   646408   5949     | 16     2165948        25854069     -       
8      32     3      3/8    | 0.36      5.72      6.06      1.05      13.20        4.12      | 317774   0        422310   454166   5949     | 24     2165948        25854069     -       
8      32     4      4/8    | 0.36      5.79      5.21      1.08      12.46        4.37      | 317774   0        590190   286286   5949     | 32     2165948        25854069     -       
8      32     5      5/8    | 0.35      5.68      4.67      1.05      11.77        4.63      | 317774   0        737078   139398   5949     | 40     2165948        25854069     -       
8      32     6      6/8    | 0.36      5.62      4.17      1.04      11.21        4.86      | 317774   0        844966   31510    5949     | 48     2165948        25854069     -       
8      32     7      7/8    | 0.36      5.76      4.09      1.07      11.30        4.82      | 317774   0        875607   869      5949     | 56     2165948        25854069     -       
8      32     8      8/8    | 0.36      5.69      2.84      1.05      9.95         5.47      | 317774   0        882425   0        0        | 64     2165948        25854069     -       
16     8      0      0/8    | 0.59      1.88      4.28      0.98      7.74         7.03      | 124232   0        0        242195   174      | 1      623894         25854069     -       
16     8      1      1/8    | 0.59      1.98      4.11      1.01      7.71         7.06      | 124232   0        0        242195   174      | 32     623894         25854069     -       
16     8      2      2/8    | 0.59      1.83      4.24      0.99      7.66         7.11      | 124232   0        70022    172173   174      | 64     623894         25854069     -       
16     8      3      3/8    | 0.59      1.90      4.15      0.98      7.63         7.13      | 124232   0        126831   115364   174      | 96     623894         25854069     -       
16     8      4      4/8    | 0.58      1.78      3.48      0.96      6.81         7.99      | 124232   0        173148   69047    174      | 128    623894         25854069     -       
16     8      5      5/8    | 0.58      1.81      3.51      0.97      6.88         7.92      | 124232   0        212634   29561    174      | 160    623894         25854069     -       
16     8      6      6/8    | 0.59      2.02      3.63      1.06      7.32         7.44      | 124232   0        240079   2116     174      | 192    623894         25854069     -       
16     8      7      7/8    | 0.59      1.93      3.60      0.99      7.12         7.65      | 124232   0        241929   266      174      | 224    623894         25854069     -       
16     8      8      8/8    | 0.58      1.82      3.58      0.97      6.96         7.82      | 124232   0        242369   0        0        | 256    623894         25854069     -       
16     16     0      0/8    | 0.36      1.80      4.30      0.95      7.42         7.34      | 124232   0        0        242195   174      | 1      648974         25854069     -       
16     16     1      1/8    | 0.38      1.83      4.31      0.96      7.48         7.28      | 124232   0        0        242195   174      | 32     648974         25854069     -       
16     16     2      2/8    | 0.36      1.84      4.38      0.97      7.57         7.19      | 124232   0        70022    172173   174      | 64     648974         25854069     -       
16     16     3      3/8    | 0.36      1.83      3.89      0.97      7.06         7.71      | 124232   0        126831   115364   174      | 96     648974         25854069     -       
16     16     4      4/8    | 0.38      1.84      3.41      1.02      6.66         8.17      | 124232   0        173148   69047    174      | 128    648974         25854069     -       
16     16     5      5/8    | 0.37      1.79      3.10      0.97      6.25         8.72      | 124232   0        212634   29561    174      | 160    648974         25854069     -       
16     16     6      6/8    | 0.37      1.89      2.86      0.97      6.11         8.91      | 124232   0        240079   2116     174      | 192    648974         25854069     -       
16     16     7      7/8    | 0.38      1.85      2.57      0.98      5.79         9.41      | 124232   0        241929   266      174      | 224    648974         25854069     -       
16     16     8      8/8    | 0.37      1.89      2.59      0.97      5.83         9.34      | 124232   0        242369   0        0        | 256    648974         25854069     -       
16     32     0      0/8    | 0.25      1.86      5.53      0.97      8.61         6.32      | 124232   0        0        242195   174      | 1      683919         25854069     -       
16     32     1      1/8    | 0.25      1.88      5.57      0.94      8.66         6.29      | 124232   0        0        242195   174      | 32     683919         25854069     -       
16     32     2      2/8    | 0.25      1.88      5.06      0.96      8.16         6.67      | 124232   0        70022    172173   174      | 64     683919         25854069     -       
16     32     3      3/8    | 0.25      1.93      4.59      0.97      7.75         7.03      | 124232   0        126831   115364   174      | 96     683919         25854069     -       
16     32     4      4/8    | 0.26      1.98      3.62      1.02      6.90         7.89      | 124232   0        173148   69047    174      | 128    683919         25854069     -       
16     32     5      5/8    | 0.25      1.97      3.22      0.96      6.41         8.49      | 124232   0        212634   29561    174      | 160    683919         25854069     -       
16     32     6      6/8    | 0.24      1.88      2.97      0.96      6.07         8.97      | 124232   0        240079   2116     174      | 192    683919         25854069     -       
16     32     7      7/8    | 0.26      1.92      1.74      1.00      4.93         11.04     | 124232   0        241929   266      174      | 224    683919         25854069     -       
16     32     8      8/8    | 0.26      1.88      1.76      0.98      4.88         11.15     | 124232   0        242369   0        0        | 256    683919         25854069     -       
32     8      0      0/8    | 0.54      1.51      4.85      0.75      7.67         7.10      | 53007    0        0        62628    9        | 1      197619         25854069     -       
32     8      1      1/8    | 0.53      1.59      4.96      0.75      7.84         6.94      | 53007    0        0        62628    9        | 128    197619         25854069     -       
32     8      2      2/8    | 0.53      1.36      4.66      0.74      7.31         7.45      | 53007    0        19247    43381    9        | 256    197619         25854069     -       
32     8      3      3/8    | 0.53      1.38      4.45      0.73      7.10         7.66      | 53007    0        34344    28284    9        | 384    197619         25854069     -       
32     8      4      4/8    | 0.53      1.42      3.18      0.72      5.87         9.28      | 53007    0        47471    15157    9        | 512    197619         25854069     -       
32     8      5      5/8    | 0.55      1.47      3.02      0.75      5.80         9.39      | 53007    0        57075    5553     9        | 640    197619         25854069     -       
32     8      6      6/8    | 0.54      1.49      3.18      0.77      5.99         9.08      | 53007    0        62477    151      9        | 768    197619         25854069     -       
32     8      7      7/8    | 0.54      1.59      3.24      0.75      6.13         8.87      | 53007    0        62620    8        9        | 896    197619         25854069     -       
32     8      8      8/8    | 0.53      1.52      3.27      0.73      6.06         8.98      | 53007    0        62637    0        0        | 1024   197619         25854069     -       
32     16     0      0/8    | 0.33      1.05      5.53      0.79      7.71         7.06      | 53007    0        0        62628    9        | 1      206098         25854069     -       
32     16     1      1/8    | 0.33      1.07      5.42      0.76      7.60         7.16      | 53007    0        0        62628    9        | 128    206098         25854069     -       
32     16     2      2/8    | 0.33      1.08      4.57      0.77      6.76         8.05      | 53007    0        19247    43381    9        | 256    206098         25854069     -       
32     16     3      3/8    | 0.33      1.11      4.29      0.77      6.52         8.35      | 53007    0        34344    28284    9        | 384    206098         25854069     -       
32     16     4      4/8    | 0.33      1.07      3.08      0.76      5.24         10.38     | 53007    0        47471    15157    9        | 512    206098         25854069     -       
32     16     5      5/8    | 0.32      1.07      2.94      0.76      5.11         10.66     | 53007    0        57075    5553     9        | 640    206098         25854069     -       
32     16     6      6/8    | 0.34      1.08      2.85      0.80      5.09         10.70     | 53007    0        62477    151      9        | 768    206098         25854069     -       
32     16     7      7/8    | 0.34      1.10      3.11      0.79      5.36         10.17     | 53007    0        62620    8        9        | 896    206098         25854069     -       
32     16     8      8/8    | 0.33      1.07      2.87      0.79      5.08         10.71     | 53007    0        62637    0        0        | 1024   206098         25854069     -       
32     32     0      0/8    | 0.22      0.83      5.48      0.77      7.31         7.45      | 53007    0        0        62628    9        | 1      218709         25854069     -       
32     32     1      1/8    | 0.23      0.77      5.41      0.81      7.24         7.52      | 53007    0        0        62628    9        | 128    218709         25854069     -       
32     32     2      2/8    | 0.23      0.80      4.76      0.85      6.65         8.19      | 53007    0        19247    43381    9        | 256    218709         25854069     -       
32     32     3      3/8    | 0.22      0.78      4.20      0.80      6.01         9.05      | 53007    0        34344    28284    9        | 384    218709         25854069     -       
32     32     4      4/8    | 0.22      0.77      3.06      0.76      4.82         11.30     | 53007    0        47471    15157    9        | 512    218709         25854069     -       
32     32     5      5/8    | 0.23      0.79      2.63      0.81      4.47         12.18     | 53007    0        57075    5553     9        | 640    218709         25854069     -       
32     32     6      6/8    | 0.22      0.79      2.06      0.80      3.88         14.02     | 53007    0        62477    151      9        | 768    218709         25854069     -       
32     32     7      7/8    | 0.22      0.80      2.16      0.80      3.99         13.63     | 53007    0        62620    8        9        | 896    218709         25854069     -       
32     32     8      8/8    | 0.23      0.79      2.13      0.83      3.98         13.66     | 53007    0        62637    0        0        | 1024   218709         25854069     -       
