# Matrix: shallow_water1
# Path: /home/stu1/Dataset/training_dataset/50k-200k-0.001/shallow_water1.mtx
# Category: 50k-200k-0.001
# Date: 2026-03-09 12:20:56
# Configs: 81 (9 tiles x 9 TC thresholds)
# Version: AdaSpGEMM_new
#
# Rows: 81920
# Cols: 81920
# NNZ(A): 327680
# NNZ(C) estimate: 1310720
#
tile_m tile_n tc_frc tc     | step1_ms  step2_ms  step3_ms  malloc    total_ms     gflops    | n_tiny   n_sml    n_lrg    n_dns    n_ful    | th_lrg tiles_C        nnzC         error   
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
8      8      0      0/8    | 0.15      0.37      0.22      0.42      1.17         2.24      | 72160    0        0        25440    0        | 1      118560         819200       -       
8      8      1      1/8    | 0.14      0.34      0.22      0.41      1.12         2.34      | 72160    0        0        25440    0        | 8      118560         819200       -       
8      8      2      2/8    | 0.14      0.32      0.20      0.42      1.10         2.39      | 72160    0        15200    10240    0        | 16     118560         819200       -       
8      8      3      3/8    | 0.14      0.35      0.20      0.42      1.12         2.34      | 72160    0        15200    10240    0        | 24     118560         819200       -       
8      8      4      4/8    | 0.15      0.28      0.21      0.41      1.06         2.47      | 72160    0        15200    10240    0        | 32     118560         819200       -       
8      8      5      5/8    | 0.15      0.32      0.20      0.45      1.13         2.31      | 72160    0        20320    5120     0        | 40     118560         819200       -       
8      8      6      6/8    | 0.14      0.32      0.18      0.43      1.08         2.44      | 72160    0        25440    0        0        | 48     118560         819200       -       
8      8      7      7/8    | 0.13      0.35      0.18      0.43      1.10         2.39      | 72160    0        25440    0        0        | 56     118560         819200       -       
8      8      8      8/8    | 0.14      0.34      0.18      0.41      1.07         2.45      | 72160    0        25440    0        0        | 64     118560         819200       -       
8      16     0      0/8    | 0.13      0.53      0.25      0.50      1.42         1.84      | 72160    0        0        25440    0        | 1      159180         819200       -       
8      16     1      1/8    | 0.13      0.53      0.25      0.50      1.41         1.86      | 72160    0        0        25440    0        | 8      159180         819200       -       
8      16     2      2/8    | 0.14      0.56      0.20      0.52      1.44         1.82      | 72160    0        15200    10240    0        | 16     159180         819200       -       
8      16     3      3/8    | 0.15      0.53      0.20      0.52      1.41         1.86      | 72160    0        15200    10240    0        | 24     159180         819200       -       
8      16     4      4/8    | 0.14      0.54      0.21      0.51      1.40         1.87      | 72160    0        15200    10240    0        | 32     159180         819200       -       
8      16     5      5/8    | 0.14      0.52      0.19      0.52      1.38         1.91      | 72160    0        20320    5120     0        | 40     159180         819200       -       
8      16     6      6/8    | 0.14      0.55      0.17      0.51      1.37         1.91      | 72160    0        25440    0        0        | 48     159180         819200       -       
8      16     7      7/8    | 0.15      0.57      0.17      0.58      1.49         1.76      | 72160    0        25440    0        0        | 56     159180         819200       -       
8      16     8      8/8    | 0.14      0.56      0.17      0.51      1.38         1.90      | 72160    0        25440    0        0        | 64     159180         819200       -       
8      32     0      0/8    | 0.14      0.87      0.34      0.56      1.93         1.36      | 72160    0        0        25440    0        | 1      261400         819200       -       
8      32     1      1/8    | 0.14      0.82      0.34      0.55      1.86         1.41      | 72160    0        0        25440    0        | 8      261400         819200       -       
8      32     2      2/8    | 0.13      0.82      0.27      0.53      1.76         1.49      | 72160    0        15200    10240    0        | 16     261400         819200       -       
8      32     3      3/8    | 0.14      0.81      0.27      0.54      1.77         1.48      | 72160    0        15200    10240    0        | 24     261400         819200       -       
