# Matrix: shyy161
# Path: /home/stu1/Dataset/training_dataset/50k-200k-0.001/shyy161.mtx
# Category: 50k-200k-0.001
# Date: 2026-03-09 12:22:29
# Configs: 81 (9 tiles x 9 TC thresholds)
# Version: AdaSpGEMM_new
#
# Rows: 76480
# Cols: 76480
# NNZ(A): 329762
# NNZ(C) estimate: 1541474
#
tile_m tile_n tc_frc tc     | step1_ms  step2_ms  step3_ms  malloc    total_ms     gflops    | n_tiny   n_sml    n_lrg    n_dns    n_ful    | th_lrg tiles_C        nnzC         error   
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
8      8      0      0/8    | 0.15      0.32      0.22      0.42      1.12         2.76      | 55928    0        0        28560    0        | 1      115195         784015       -       
8      8      1      1/8    | 0.14      0.31      0.21      0.40      1.08         2.87      | 55928    0        0        28560    0        | 8      115195         784015       -       
8      8      2      2/8    | 0.15      0.31      0.20      0.42      1.08         2.84      | 55928    0        9520     19040    0        | 16     115195         784015       -       
8      8      3      3/8    | 0.14      0.32      0.17      0.40      1.05         2.94      | 55928    0        22220    6340     0        | 24     115195         784015       -       
8      8      4      4/8    | 0.14      0.29      0.17      0.41      1.02         3.01      | 55928    0        25480    3080     0        | 32     115195         784015       -       
8      8      5      5/8    | 0.14      0.32      0.14      0.41      1.03         2.98      | 55928    0        28560    0        0        | 40     115195         784015       -       
8      8      6      6/8    | 0.13      0.32      0.14      0.40      1.00         3.09      | 55928    0        28560    0        0        | 48     115195         784015       -       
8      8      7      7/8    | 0.13      0.30      0.14      0.40      0.98         3.14      | 55928    0        28560    0        0        | 56     115195         784015       -       
8      8      8      8/8    | 0.13      0.27      0.14      0.40      0.95         3.26      | 55928    0        28560    0        0        | 64     115195         784015       -       
8      16     0      0/8    | 0.15      0.54      0.23      0.52      1.46         2.12      | 55928    0        0        28560    0        | 1      163640         784015       -       
8      16     1      1/8    | 0.14      0.54      0.23      0.51      1.43         2.16      | 55928    0        0        28560    0        | 8      163640         784015       -       
8      16     2      2/8    | 0.14      0.54      0.21      0.50      1.41         2.19      | 55928    0        9520     19040    0        | 16     163640         784015       -       
8      16     3      3/8    | 0.14      0.54      0.17      0.51      1.38         2.23      | 55928    0        22220    6340     0        | 24     163640         784015       -       
8      16     4      4/8    | 0.13      0.55      0.16      0.52      1.38         2.23      | 55928    0        25480    3080     0        | 32     163640         784015       -       
8      16     5      5/8    | 0.14      0.55      0.13      0.49      1.33         2.32      | 55928    0        28560    0        0        | 40     163640         784015       -       
8      16     6      6/8    | 0.13      0.55      0.14      0.50      1.33         2.31      | 55928    0        28560    0        0        | 48     163640         784015       -       
8      16     7      7/8    | 0.15      0.56      0.14      0.52      1.38         2.24      | 55928    0        28560    0        0        | 56     163640         784015       -       
8      16     8      8/8    | 0.13      0.53      0.13      0.51      1.31         2.35      | 55928    0        28560    0        0        | 64     163640         784015       -       
8      32     0      0/8    | 0.14      0.85      0.33      0.54      1.87         1.65      | 55928    0        0        28560    0        | 1      246265         784015       -       
8      32     1      1/8    | 0.14      0.81      0.34      0.57      1.88         1.64      | 55928    0        0        28560    0        | 8      246265         784015       -       
8      32     2      2/8    | 0.14      0.81      0.28      0.54      1.79         1.73      | 55928    0        9520     19040    0        | 16     246265         784015       -       
8      32     3      3/8    | 0.13      0.76      0.22      0.53      1.66         1.86      | 55928    0        22220    6340     0        | 24     246265         784015       -       
8      32     4      4/8    | 0.13      0.79      0.20      0.53      1.65         1.87      | 55928    0        25480    3080     0        | 32     246265         784015       -       
8      32     5      5/8    | 0.13      0.77      0.14      0.53      1.59         1.94      | 55928    0        28560    0        0        | 40     246265         784015       -       
8      32     6      6/8    | 0.15      0.80      0.14      0.55      1.65         1.86      | 55928    0        28560    0        0        | 48     246265         784015       -       
8      32     7      7/8    | 0.14      0.76      0.14      0.54      1.59         1.94      | 55928    0        28560    0        0        | 56     246265         784015       -       
8      32     8      8/8    | 0.14      0.78      0.14      0.55      1.61         1.91      | 55928    0        28560    0        0        | 64     246265         784015       -       
16     8      0      0/8    | 0.10      0.19      0.24      0.34      0.89         3.46      | 32168    0        0        9520     0        | 1      43267          784015       -       
16     8      1      1/8    | 0.10      0.18      0.24      0.35      0.88         3.49      | 32168    0        0        9520     0        | 32     43267          784015       -       
16     8      2      2/8    | 0.11      0.19      0.19      0.35      0.85         3.61      | 32168    0        7930     1590     0        | 64     43267          784015       -       
16     8      3      3/8    | 0.10      0.20      0.16      0.35      0.83         3.73      | 32168    0        9520     0        0        | 96     43267          784015       -       
16     8      4      4/8    | 0.10      0.18      0.16      0.34      0.79         3.92      | 32168    0        9520     0        0        | 128    43267          784015       -       
16     8      5      5/8    | 0.10      0.18      0.16      0.35      0.80         3.86      | 32168    0        9520     0        0        | 160    43267          784015       -       
16     8      6      6/8    | 0.10      0.18      0.16      0.33      0.78         3.97      | 32168    0        9520     0        0        | 192    43267          784015       -       
16     8      7      7/8    | 0.09      0.19      0.16      0.33      0.79         3.92      | 32168    0        9520     0        0        | 224    43267          784015       -       
16     8      8      8/8    | 0.12      0.19      0.17      0.37      0.86         3.58      | 32168    0        9520     0        0        | 256    43267          784015       -       
16     16     0      0/8    | 0.11      0.23      0.18      0.41      0.95         3.25      | 32168    0        0        9520     0        | 1      56565          784015       -       
16     16     1      1/8    | 0.11      0.23      0.19      0.42      0.97         3.18      | 32168    0        0        9520     0        | 32     56565          784015       -       
16     16     2      2/8    | 0.11      0.23      0.14      0.39      0.89         3.46      | 32168    0        7930     1590     0        | 64     56565          784015       -       
16     16     3      3/8    | 0.10      0.23      0.09      0.41      0.84         3.66      | 32168    0        9520     0        0        | 96     56565          784015       -       
16     16     4      4/8    | 0.12      0.23      0.09      0.41      0.86         3.57      | 32168    0        9520     0        0        | 128    56565          784015       -       
16     16     5      5/8    | 0.11      0.23      0.09      0.39      0.83         3.71      | 32168    0        9520     0        0        | 160    56565          784015       -       
16     16     6      6/8    | 0.11      0.23      0.09      0.44      0.88         3.50      | 32168    0        9520     0        0        | 192    56565          784015       -       
16     16     7      7/8    | 0.11      0.22      0.09      0.37      0.80         3.87      | 32168    0        9520     0        0        | 224    56565          784015       -       
16     16     8      8/8    | 0.11      0.22      0.09      0.38      0.82         3.78      | 32168    0        9520     0        0        | 256    56565          784015       -       
16     32     0      0/8    | 0.10      0.29      0.30      0.34      1.04         2.96      | 32168    0        0        9520     0        | 1      79675          784015       -       
16     32     1      1/8    | 0.10      0.32      0.30      0.35      1.08         2.86      | 32168    0        0        9520     0        | 32     79675          784015       -       
16     32     2      2/8    | 0.10      0.32      0.20      0.34      0.96         3.20      | 32168    0        7930     1590     0        | 64     79675          784015       -       
16     32     3      3/8    | 0.10      0.30      0.09      0.33      0.83         3.71      | 32168    0        9520     0        0        | 96     79675          784015       -       
16     32     4      4/8    | 0.10      0.30      0.09      0.34      0.84         3.67      | 32168    0        9520     0        0        | 128    79675          784015       -       
16     32     5      5/8    | 0.11      0.31      0.09      0.36      0.88         3.51      | 32168    0        9520     0        0        | 160    79675          784015       -       
16     32     6      6/8    | 0.11      0.30      0.09      0.34      0.86         3.58      | 32168    0        9520     0        0        | 192    79675          784015       -       
16     32     7      7/8    | 0.10      0.29      0.09      0.34      0.84         3.67      | 32168    0        9520     0        0        | 224    79675          784015       -       
16     32     8      8/8    | 0.10      0.30      0.09      0.35      0.86         3.60      | 32168    0        9520     0        0        | 256    79675          784015       -       
32     8      0      0/8    | 0.10      0.17      0.44      0.38      1.10         2.79      | 19493    0        0        795      0        | 1      21077          784015       -       
32     8      1      1/8    | 0.11      0.19      0.44      0.40      1.16         2.66      | 19493    0        0        795      0        | 128    21077          784015       -       
32     8      2      2/8    | 0.10      0.18      0.29      0.40      0.98         3.13      | 19493    0        795      0        0        | 256    21077          784015       -       
32     8      3      3/8    | 0.12      0.18      0.29      0.40      1.00         3.07      | 19493    0        795      0        0        | 384    21077          784015       -       
32     8      4      4/8    | 0.11      0.19      0.29      0.39      0.99         3.12      | 19493    0        795      0        0        | 512    21077          784015       -       
32     8      5      5/8    | 0.09      0.17      0.31      0.37      0.95         3.23      | 19493    0        795      0        0        | 640    21077          784015       -       
32     8      6      6/8    | 0.11      0.18      0.30      0.40      1.00         3.07      | 19493    0        795      0        0        | 768    21077          784015       -       
32     8      7      7/8    | 0.10      0.19      0.29      0.36      0.95         3.23      | 19493    0        795      0        0        | 896    21077          784015       -       
32     8      8      8/8    | 0.09      0.17      0.30      0.37      0.95         3.23      | 19493    0        795      0        0        | 1024   21077          784015       -       
32     16     0      0/8    | 0.09      0.15      0.32      0.32      0.89         3.46      | 19493    0        0        795      0        | 1      21077          784015       -       
32     16     1      1/8    | 0.09      0.18      0.31      0.33      0.93         3.33      | 19493    0        0        795      0        | 128    21077          784015       -       
