# Matrix: usroads-48
# Path: /home/stu1/Dataset/training_dataset/50k-200k-0.001/usroads-48.mtx
# Category: 50k-200k-0.001
# Date: 2026-03-09 12:23:57
# Configs: 81 (9 tiles x 9 TC thresholds)
# Version: AdaSpGEMM_new
#
# Rows: 126146
# Cols: 126146
# NNZ(A): 323900
# NNZ(C) estimate: 908750
#
tile_m tile_n tc_frc tc     | step1_ms  step2_ms  step3_ms  malloc    total_ms     gflops    | n_tiny   n_sml    n_lrg    n_dns    n_ful    | th_lrg tiles_C        nnzC         error   
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
8      8      0      0/8    | 0.24      4.50      0.78      0.87      6.41         0.28      | 419338   0        0        7905     0        | 1      1957457        690342       -       
8      8      1      1/8    | 0.25      4.51      0.78      0.90      6.46         0.28      | 419338   0        0        7905     0        | 8      1957457        690342       -       
8      8      2      2/8    | 0.24      4.51      0.70      0.87      6.34         0.29      | 419338   0        7671     234      0        | 16     1957457        690342       -       
8      8      3      3/8    | 0.24      4.44      0.69      0.93      6.32         0.29      | 419338   0        7885     20       0        | 24     1957457        690342       -       
8      8      4      4/8    | 0.24      4.33      0.68      0.85      6.12         0.30      | 419338   0        7902     3        0        | 32     1957457        690342       -       
8      8      5      5/8    | 0.24      4.34      0.68      0.86      6.13         0.30      | 419338   0        7905     0        0        | 40     1957457        690342       -       
8      8      6      6/8    | 0.24      4.19      0.68      0.85      5.97         0.30      | 419338   0        7905     0        0        | 48     1957457        690342       -       
8      8      7      7/8    | 0.25      4.38      0.68      0.89      6.21         0.29      | 419338   0        7905     0        0        | 56     1957457        690342       -       
8      8      8      8/8    | 0.25      4.32      0.68      0.88      6.14         0.30      | 419338   0        7905     0        0        | 64     1957457        690342       -       
8      16     0      0/8    | 0.27      6.70      0.92      0.86      8.75         0.21      | 419338   0        0        7905     0        | 1      2624349        690342       -       
8      16     1      1/8    | 0.26      6.79      0.91      0.87      8.85         0.21      | 419338   0        0        7905     0        | 8      2624349        690342       -       
8      16     2      2/8    | 0.26      6.97      0.81      0.87      8.93         0.20      | 419338   0        7671     234      0        | 16     2624349        690342       -       
8      16     3      3/8    | 0.26      6.77      0.79      0.87      8.69         0.21      | 419338   0        7885     20       0        | 24     2624349        690342       -       
8      16     4      4/8    | 0.27      6.80      0.79      0.86      8.74         0.21      | 419338   0        7902     3        0        | 32     2624349        690342       -       
8      16     5      5/8    | 0.26      6.92      0.78      0.85      8.83         0.21      | 419338   0        7905     0        0        | 40     2624349        690342       -       
8      16     6      6/8    | 0.25      6.72      0.78      0.84      8.61         0.21      | 419338   0        7905     0        0        | 48     2624349        690342       -       
