# Matrix: wing
# Path: /home/stu1/Dataset/training_dataset/50k-200k-0.001/wing.mtx
# Category: 50k-200k-0.001
# Date: 2026-03-09 12:25:38
# Configs: 81 (9 tiles x 9 TC thresholds)
# Version: AdaSpGEMM_new
#
# Rows: 62032
# Cols: 62032
# NNZ(A): 243088
# NNZ(C) estimate: 957396
#
tile_m tile_n tc_frc tc     | step1_ms  step2_ms  step3_ms  malloc    total_ms     gflops    | n_tiny   n_sml    n_lrg    n_dns    n_ful    | th_lrg tiles_C        nnzC         error   
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
8      8      0      0/8    | 0.46      16.77     1.01      1.05      19.31        0.10      | 649799   0        0        393      0        | 1      6616810        714200       -       
8      8      1      1/8    | 0.44      17.52     1.01      1.04      20.03        0.10      | 649799   0        0        393      0        | 8      6616810        714200       -       
8      8      2      2/8    | 0.45      17.14     0.97      1.02      19.60        0.10      | 649799   0        393      0        0        | 16     6616810        714200       -       
8      8      3      3/8    | 0.45      17.43     0.97      1.09      19.96        0.10      | 649799   0        393      0        0        | 24     6616810        714200       -       
8      8      4      4/8    | 0.45      17.30     0.97      1.06      19.79        0.10      | 649799   0        393      0        0        | 32     6616810        714200       -       
8      8      5      5/8    | 0.44      17.33     0.97      1.03      19.78        0.10      | 649799   0        393      0        0        | 40     6616810        714200       -       
8      8      6      6/8    | 0.45      17.19     0.96      1.03      19.66        0.10      | 649799   0        393      0        0        | 48     6616810        714200       -       
8      8      7      7/8    | 0.45      17.69     0.96      1.02      20.14        0.10      | 649799   0        393      0        0        | 56     6616810        714200       -       
8      8      8      8/8    | 0.45      17.68     0.97      1.01      20.12        0.10      | 649799   0        393      0        0        | 64     6616810        714200       -       
8      16     0      0/8    | 0.82      32.97     1.24      1.30      36.35        0.05      | 649799   0        0        393      0        | 1      12569780       714200       -       
8      16     1      1/8    | 0.82      32.23     1.24      1.27      35.58        0.05      | 649799   0        0        393      0        | 8      12569780       714200       -       
8      16     2      2/8    | 0.81      32.25     1.16      1.26      35.51        0.05      | 649799   0        393      0        0        | 16     12569780       714200       -       
8      16     3      3/8    | 0.81      32.34     1.16      1.27      35.60        0.05      | 649799   0        393      0        0        | 24     12569780       714200       -       
8      16     4      4/8    | 0.82      32.91     1.15      1.28      36.18        0.05      | 649799   0        393      0        0        | 32     12569780       714200       -       
8      16     5      5/8    | 0.82      32.91     1.15      1.28      36.16        0.05      | 649799   0        393      0        0        | 40     12569780       714200       -       
8      16     6      6/8    | 0.81      32.94     1.17      1.27      36.20        0.05      | 649799   0        393      0        0        | 48     12569780       714200       -       
8      16     7      7/8    | 0.81      32.57     1.16      1.29      35.85        0.05      | 649799   0        393      0        0        | 56     12569780       714200       -       
8      16     8      8/8    | 0.81      32.17     1.15      1.28      35.42        0.05      | 649799   0        393      0        0        | 64     12569780       714200       -       
8      32     0      0/8    | 1.52      58.26     1.53      1.71      63.04        0.03      | 649799   0        0        393      0        | 1      22434644       714200       -       
8      32     1      1/8    | 1.52      57.43     1.53      1.69      62.18        0.03      | 649799   0        0        393      0        | 8      22434644       714200       -       
8      32     2      2/8    | 1.52      57.92     1.26      1.69      62.42        0.03      | 649799   0        393      0        0        | 16     22434644       714200       -       
8      32     3      3/8    | 1.50      57.21     1.25      1.71      61.69        0.03      | 649799   0        393      0        0        | 24     22434644       714200       -       
8      32     4      4/8    | 1.50      57.88     1.23      1.67      62.30        0.03      | 649799   0        393      0        0        | 32     22434644       714200       -       
8      32     5      5/8    | 1.51      56.64     1.24      1.68      61.09        0.03      | 649799   0        393      0        0        | 40     22434644       714200       -       
8      32     6      6/8    | 1.52      57.65     1.26      1.70      62.15        0.03      | 649799   0        393      0        0        | 48     22434644       714200       -       
8      32     7      7/8    | 1.52      58.12     1.26      1.70      62.61        0.03      | 649799   0        393      0        0        | 56     22434644       714200       -       
8      32     8      8/8    | 1.53      57.52     1.26      1.69      62.02        0.03      | 649799   0        393      0        0        | 64     22434644       714200       -       
16     8      0      0/8    | 0.46      14.46     1.39      1.14      17.46        0.11      | 632459   0        0        0        0        | 1      5507251        714200       -       
16     8      1      1/8    | 0.46      14.37     1.44      1.11      17.39        0.11      | 632459   0        0        0        0        | 32     5507251        714200       -       
16     8      2      2/8    | 0.48      14.55     1.39      1.15      17.58        0.11      | 632459   0        0        0        0        | 64     5507251        714200       -       
16     8      3      3/8    | 0.47      13.90     1.44      1.14      16.96        0.11      | 632459   0        0        0        0        | 96     5507251        714200       -       
16     8      4      4/8    | 0.47      14.03     1.45      1.12      17.09        0.11      | 632459   0        0        0        0        | 128    5507251        714200       -       
16     8      5      5/8    | 0.46      14.08     1.45      1.14      17.15        0.11      | 632459   0        0        0        0        | 160    5507251        714200       -       
16     8      6      6/8    | 0.47      13.95     1.39      1.14      16.96        0.11      | 632459   0        0        0        0        | 192    5507251        714200       -       
16     8      7      7/8    | 0.46      14.04     1.44      1.11      17.07        0.11      | 632459   0        0        0        0        | 224    5507251        714200       -       
16     8      8      8/8    | 0.46      14.43     1.45      1.13      17.48        0.11      | 632459   0        0        0        0        | 256    5507251        714200       -       
16     16     0      0/8    | 0.74      23.08     1.49      1.40      26.73        0.07      | 632459   0        0        0        0        | 1      8962233        714200       -       
16     16     1      1/8    | 0.76      23.15     1.49      1.40      26.81        0.07      | 632459   0        0        0        0        | 32     8962233        714200       -       
16     16     2      2/8    | 0.76      22.62     1.49      1.40      26.29        0.07      | 632459   0        0        0        0        | 64     8962233        714200       -       
16     16     3      3/8    | 0.75      23.53     1.49      1.40      27.18        0.07      | 632459   0        0        0        0        | 96     8962233        714200       -       
16     16     4      4/8    | 0.75      23.15     1.49      1.38      26.79        0.07      | 632459   0        0        0        0        | 128    8962233        714200       -       
16     16     5      5/8    | 0.74      23.21     1.49      1.38      26.84        0.07      | 632459   0        0        0        0        | 160    8962233        714200       -       
16     16     6      6/8    | 0.76      23.48     1.55      1.41      27.21        0.07      | 632459   0        0        0        0        | 192    8962233        714200       -       
16     16     7      7/8    | 0.75      22.72     1.49      1.40      26.36        0.07      | 632459   0        0        0        0        | 224    8962233        714200       -       
16     16     8      8/8    | 0.74      23.38     1.49      1.37      27.00        0.07      | 632459   0        0        0        0        | 256    8962233        714200       -       
16     32     0      0/8    | 1.12      31.86     1.72      1.74      36.46        0.05      | 632459   0        0        0        0        | 1      12464747       714200       -       
16     32     1      1/8    | 1.12      31.60     1.73      1.74      36.20        0.05      | 632459   0        0        0        0        | 32     12464747       714200       -       
16     32     2      2/8    | 1.13      31.92     1.72      1.77      36.55        0.05      | 632459   0        0        0        0        | 64     12464747       714200       -       
16     32     3      3/8    | 1.13      31.59     1.73      1.71      36.17        0.05      | 632459   0        0        0        0        | 96     12464747       714200       -       
16     32     4      4/8    | 1.12      31.42     1.73      1.75      36.02        0.05      | 632459   0        0        0        0        | 128    12464747       714200       -       
16     32     5      5/8    | 1.13      32.08     1.73      1.76      36.72        0.05      | 632459   0        0        0        0        | 160    12464747       714200       -       
16     32     6      6/8    | 1.14      31.71     1.73      1.75      36.34        0.05      | 632459   0        0        0        0        | 192    12464747       714200       -       
16     32     7      7/8    | 1.12      31.62     1.73      1.72      36.21        0.05      | 632459   0        0        0        0        | 224    12464747       714200       -       
16     32     8      8/8    | 1.13      31.82     1.72      1.74      36.43        0.05      | 632459   0        0        0        0        | 256    12464747       714200       -       
32     8      0      0/8    | 0.40      8.50      2.15      1.34      12.40        0.15      | 585019   0        0        0        0        | 1      3105239        714200       -       
32     8      1      1/8    | 0.40      8.57      2.15      1.31      12.45        0.15      | 585019   0        0        0        0        | 128    3105239        714200       -       
32     8      2      2/8    | 0.41      8.71      2.15      1.32      12.62        0.15      | 585019   0        0        0        0        | 256    3105239        714200       -       
32     8      3      3/8    | 0.42      9.09      2.15      1.41      13.08        0.15      | 585019   0        0        0        0        | 384    3105239        714200       -       
32     8      4      4/8    | 0.40      8.67      2.15      1.34      12.57        0.15      | 585019   0        0        0        0        | 512    3105239        714200       -       
32     8      5      5/8    | 0.41      8.57      2.28      1.31      12.59        0.15      | 585019   0        0        0        0        | 640    3105239        714200       -       
32     8      6      6/8    | 0.40      8.96      2.14      1.33      12.86        0.15      | 585019   0        0        0        0        | 768    3105239        714200       -       
32     8      7      7/8    | 0.40      8.69      2.15      1.34      12.59        0.15      | 585019   0        0        0        0        | 896    3105239        714200       -       
32     8      8      8/8    | 0.40      8.69      2.14      1.32      12.57        0.15      | 585019   0        0        0        0        | 1024   3105239        714200       -       
32     16     0      0/8    | 0.49      10.68     2.36      1.42      14.97        0.13      | 585019   0        0        0        0        | 1      3624089        714200       -       
32     16     1      1/8    | 0.50      10.63     2.35      1.43      14.93        0.13      | 585019   0        0        0        0        | 128    3624089        714200       -       
32     16     2      2/8    | 0.48      10.58     2.35      1.42      14.86        0.13      | 585019   0        0        0        0        | 256    3624089        714200       -       
32     16     3      3/8    | 0.49      10.88     2.36      1.46      15.21        0.13      | 585019   0        0        0        0        | 384    3624089        714200       -       
32     16     4      4/8    | 0.49      10.38     2.35      1.42      14.65        0.13      | 585019   0        0        0        0        | 512    3624089        714200       -       
32     16     5      5/8    | 0.49      10.32     2.35      1.42      14.61        0.13      | 585019   0        0        0        0        | 640    3624089        714200       -       
32     16     6      6/8    | 0.49      10.31     2.36      1.41      14.59        0.13      | 585019   0        0        0        0        | 768    3624089        714200       -       
32     16     7      7/8    | 0.50      10.51     2.36      1.43      14.83        0.13      | 585019   0        0        0        0        | 896    3624089        714200       -       
32     16     8      8/8    | 0.49      10.44     2.36      1.42      14.73        0.13      | 585019   0        0        0        0        | 1024   3624089        714200       -       
32     32     0      0/8    | 0.59      12.89     2.76      1.38      17.64        0.11      | 585019   0        0        0        0        | 1      3748511        714200       -       
32     32     1      1/8    | 0.59      12.88     2.76      1.39      17.63        0.11      | 585019   0        0        0        0        | 128    3748511        714200       -       
32     32     2      2/8    | 0.60      12.90     2.76      1.39      17.67        0.11      | 585019   0        0        0        0        | 256    3748511        714200       -       
