# Matrix: Ge99H100
# Path: /home/stu1/Dataset/training_dataset/50k-200k-0.01-0.1/Ge99H100.mtx
# Category: 50k-200k-0.01-0.1
# Date: 2026-03-09 13:32:49
# Configs: 81 (9 tiles x 9 TC thresholds)
# Version: AdaSpGEMM_new
#
# Rows: 112985
# Cols: 112985
# NNZ(A): 8451395
# NNZ(C) estimate: 1642015363
#
tile_m tile_n tc_frc tc     | step1_ms  step2_ms  step3_ms  malloc    total_ms     gflops    | n_tiny   n_sml    n_lrg    n_dns    n_ful    | th_lrg tiles_C        nnzC         error   
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
8      8      0      0/8    | 1.15      40.79     117.85    1.95      161.76       20.30     | 3491967  0        0        3039792  56295    | 1      9490482        105811785    -       
8      8      1      1/8    | 1.17      41.02     117.79    1.94      161.93       20.28     | 3491967  0        0        3039792  56295    | 8      9490482        105811785    -       
8      8      2      2/8    | 1.15      41.07     111.42    1.94      155.59       21.11     | 3491967  0        959234   2080558  56295    | 16     9490482        105811785    -       
8      8      3      3/8    | 1.16      41.00     105.98    1.93      150.09       21.88     | 3491967  0        1526892  1512900  56295    | 24     9490482        105811785    -       
8      8      4      4/8    | 1.20      40.79     103.58    1.99      147.58       22.25     | 3491967  0        1961412  1078380  56295    | 32     9490482        105811785    -       
8      8      5      5/8    | 1.17      40.73     95.15     1.97      139.03       23.62     | 3491967  0        2289051  750741   56295    | 40     9490482        105811785    -       
8      8      6      6/8    | 1.17      40.84     89.81     1.95      133.79       24.55     | 3491967  0        2525441  514351   56295    | 48     9490482        105811785    -       
8      8      7      7/8    | 1.14      41.01     82.78     1.93      126.87       25.89     | 3491967  0        2785017  254775   56295    | 56     9490482        105811785    -       
8      8      8      8/8    | 1.19      40.59     70.17     1.96      113.94       28.82     | 3491967  0        3096087  0        0        | 64     9490482        105811785    -       
8      16     0      0/8    | 1.35      48.40     131.99    2.04      183.81       17.87     | 3491967  0        0        3039792  56295    | 1      12689986       105811785    -       
8      16     1      1/8    | 1.35      48.55     132.01    2.00      183.93       17.85     | 3491967  0        0        3039792  56295    | 8      12689986       105811785    -       
8      16     2      2/8    | 1.35      48.45     121.00    2.04      172.86       19.00     | 3491967  0        959234   2080558  56295    | 16     12689986       105811785    -       
8      16     3      3/8    | 1.34      48.42     112.65    2.03      164.46       19.97     | 3491967  0        1526892  1512900  56295    | 24     12689986       105811785    -       
8      16     4      4/8    | 1.41      47.06     107.40    2.09      157.98       20.79     | 3491967  0        1961412  1078380  56295    | 32     12689986       105811785    -       
8      16     5      5/8    | 1.40      46.93     96.71     2.11      147.17       22.31     | 3491967  0        2289051  750741   56295    | 40     12689986       105811785    -       
8      16     6      6/8    | 1.36      48.47     89.66     2.04      141.54       23.20     | 3491967  0        2525441  514351   56295    | 48     12689986       105811785    -       
8      16     7      7/8    | 1.44      46.89     80.85     2.10      131.29       25.01     | 3491967  0        2785017  254775   56295    | 56     12689986       105811785    -       
8      16     8      8/8    | 1.37      48.33     66.17     2.03      117.91       27.85     | 3491967  0        3096087  0        0        | 64     12689986       105811785    -       
8      32     0      0/8    | 1.85      58.11     168.72    2.27      230.97       14.22     | 3491967  0        0        3039792  56295    | 1      17154992       105811785    -       
8      32     1      1/8    | 1.80      57.89     168.77    2.21      230.69       14.24     | 3491967  0        0        3039792  56295    | 8      17154992       105811785    -       
8      32     2      2/8    | 1.80      58.13     148.02    2.21      210.19       15.62     | 3491967  0        959234   2080558  56295    | 16     17154992       105811785    -       
8      32     3      3/8    | 1.82      57.98     133.02    2.22      195.05       16.84     | 3491967  0        1526892  1512900  56295    | 24     17154992       105811785    -       
8      32     4      4/8    | 1.84      58.14     119.98    2.25      182.23       18.02     | 3491967  0        1961412  1078380  56295    | 32     17154992       105811785    -       
8      32     5      5/8    | 1.80      61.52     108.64    2.23      174.21       18.85     | 3491967  0        2289051  750741   56295    | 40     17154992       105811785    -       
8      32     6      6/8    | 1.84      58.25     99.86     2.26      162.23       20.24     | 3491967  0        2525441  514351   56295    | 48     17154992       105811785    -       
8      32     7      7/8    | 1.82      58.22     89.35     2.23      151.64       21.66     | 3491967  0        2785017  254775   56295    | 56     17154992       105811785    -       
8      32     8      8/8    | 1.86      58.05     72.12     2.25      134.29       24.46     | 3491967  0        3096087  0        0        | 64     17154992       105811785    -       
16     8      0      0/8    | 1.08      23.73     122.29    1.76      148.87       22.06     | 1989858  0        0        976940   0        | 1      3608622        105811785    -       
16     8      1      1/8    | 1.04      23.87     122.30    1.75      148.97       22.05     | 1989858  0        0        976940   0        | 32     3608622        105811785    -       
16     8      2      2/8    | 1.09      23.86     105.06    1.81      131.83       24.91     | 1989858  0        444215   532725   0        | 64     3608622        105811785    -       
16     8      3      3/8    | 1.02      23.85     93.44     1.76      120.09       27.35     | 1989858  0        669363   307577   0        | 96     3608622        105811785    -       
16     8      4      4/8    | 1.04      23.73     86.54     1.81      113.13       29.03     | 1989858  0        794753   182187   0        | 128    3608622        105811785    -       
16     8      5      5/8    | 1.06      23.85     81.11     1.77      107.81       30.46     | 1989858  0        893504   83436    0        | 160    3608622        105811785    -       
16     8      6      6/8    | 1.05      23.84     77.08     1.80      103.78       31.64     | 1989858  0        956348   20592    0        | 192    3608622        105811785    -       
16     8      7      7/8    | 1.07      23.71     76.13     1.75      102.67       31.99     | 1989858  0        969159   7781     0        | 224    3608622        105811785    -       
16     8      8      8/8    | 1.05      23.74     74.70     1.80      101.30       32.42     | 1989858  0        976940   0        0        | 256    3608622        105811785    -       
16     16     0      0/8    | 0.88      22.34     116.14    1.84      141.22       23.26     | 1989858  0        0        976940   0        | 1      4272442        105811785    -       
16     16     1      1/8    | 0.86      22.07     116.14    1.82      140.92       23.30     | 1989858  0        0        976940   0        | 32     4272442        105811785    -       
16     16     2      2/8    | 0.84      21.98     96.90     1.78      121.51       27.03     | 1989858  0        444215   532725   0        | 64     4272442        105811785    -       
16     16     3      3/8    | 0.85      22.05     83.66     1.84      108.41       30.29     | 1989858  0        669363   307577   0        | 96     4272442        105811785    -       
16     16     4      4/8    | 0.91      22.38     75.51     1.81      100.62       32.64     | 1989858  0        794753   182187   0        | 128    4272442        105811785    -       
16     16     5      5/8    | 0.88      22.00     69.01     1.80      93.72        35.04     | 1989858  0        893504   83436    0        | 160    4272442        105811785    -       
16     16     6      6/8    | 0.87      21.88     64.10     1.80      88.67        37.03     | 1989858  0        956348   20592    0        | 192    4272442        105811785    -       
16     16     7      7/8    | 0.82      22.01     63.00     1.78      87.63        37.48     | 1989858  0        969159   7781     0        | 224    4272442        105811785    -       
16     16     8      8/8    | 0.84      22.02     61.24     1.78      85.89        38.23     | 1989858  0        976940   0        0        | 256    4272442        105811785    -       
16     32     0      0/8    | 0.91      24.58     143.38    1.95      170.83       19.22     | 1989858  0        0        976940   0        | 1      5068390        105811785    -       
16     32     1      1/8    | 0.94      24.54     143.38    1.91      170.78       19.23     | 1989858  0        0        976940   0        | 32     5068390        105811785    -       
16     32     2      2/8    | 0.83      24.24     107.68    1.91      134.69       24.38     | 1989858  0        444215   532725   0        | 64     5068390        105811785    -       
16     32     3      3/8    | 0.87      24.15     86.80     1.89      113.73       28.87     | 1989858  0        669363   307577   0        | 96     5068390        105811785    -       
16     32     4      4/8    | 0.85      24.23     75.70     1.89      102.70       31.98     | 1989858  0        794753   182187   0        | 128    5068390        105811785    -       
16     32     5      5/8    | 0.93      24.53     67.34     1.92      94.75        34.66     | 1989858  0        893504   83436    0        | 160    5068390        105811785    -       
16     32     6      6/8    | 0.91      24.59     61.43     1.93      88.89        36.95     | 1989858  0        956348   20592    0        | 192    5068390        105811785    -       
16     32     7      7/8    | 0.86      24.22     60.31     1.88      87.30        37.62     | 1989858  0        969159   7781     0        | 224    5068390        105811785    -       
16     32     8      8/8    | 0.87      24.18     58.19     1.88      85.14        38.57     | 1989858  0        976940   0        0        | 256    5068390        105811785    -       
32     8      0      0/8    | 1.03      16.45     136.63    1.70      155.84       21.07     | 990352   0        0        255357   0        | 1      1331147        105811785    -       
32     8      1      1/8    | 1.02      16.23     137.10    1.69      156.07       21.04     | 990352   0        0        255357   0        | 128    1331147        105811785    -       
32     8      2      2/8    | 1.01      16.17     108.42    1.69      127.31       25.80     | 990352   0        158132   97225    0        | 256    1331147        105811785    -       
32     8      3      3/8    | 1.06      16.32     93.44     1.77      112.61       29.16     | 990352   0        226696   28661    0        | 384    1331147        105811785    -       
32     8      4      4/8    | 1.11      16.73     88.17     1.75      107.78       30.47     | 990352   0        248264   7093     0        | 512    1331147        105811785    -       
32     8      5      5/8    | 1.09      24.13     87.14     1.80      114.17       28.76     | 990352   0        252229   3128     0        | 640    1331147        105811785    -       
32     8      6      6/8    | 1.03      16.14     85.69     1.71      104.58       31.40     | 990352   0        254708   649      0        | 768    1331147        105811785    -       
32     8      7      7/8    | 1.03      16.30     85.32     1.71      104.38       31.46     | 990352   0        255356   1        0        | 896    1331147        105811785    -       
32     8      8      8/8    | 1.10      16.86     85.43     1.78      105.19       31.22     | 990352   0        255357   0        0        | 1024   1331147        105811785    -       
32     16     0      0/8    | 0.82      12.92     148.93    1.78      164.47       19.97     | 990352   0        0        255357   0        | 1      1404721        105811785    -       
32     16     1      1/8    | 0.78      12.34     148.66    1.76      163.56       20.08     | 990352   0        0        255357   0        | 128    1404721        105811785    -       
32     16     2      2/8    | 0.75      12.39     105.07    1.73      119.96       27.38     | 990352   0        158132   97225    0        | 256    1404721        105811785    -       
32     16     3      3/8    | 0.77      12.37     80.19     1.74      95.08        34.54     | 990352   0        226696   28661    0        | 384    1404721        105811785    -       
32     16     4      4/8    | 0.82      13.11     72.06     1.75      87.76        37.42     | 990352   0        248264   7093     0        | 512    1404721        105811785    -       
32     16     5      5/8    | 0.82      13.05     70.27     1.76      85.92        38.22     | 990352   0        252229   3128     0        | 640    1404721        105811785    -       
32     16     6      6/8    | 0.78      12.36     67.96     1.77      82.90        39.62     | 990352   0        254708   649      0        | 768    1404721        105811785    -       
32     16     7      7/8    | 0.75      12.32     67.64     1.74      82.47        39.82     | 990352   0        255356   1        0        | 896    1404721        105811785    -       
32     16     8      8/8    | 0.78      12.52     67.63     1.73      82.69        39.72     | 990352   0        255357   0        0        | 1024   1404721        105811785    -       
32     32     0      0/8    | 0.56      10.61     159.66    1.77      172.62       19.02     | 990352   0        0        255357   0        | 1      1472767        105811785    -       
32     32     1      1/8    | 0.56      10.53     159.63    1.75      172.50       19.04     | 990352   0        0        255357   0        | 128    1472767        105811785    -       
32     32     2      2/8    | 0.57      10.65     99.76     1.76      112.76       29.12     | 990352   0        158132   97225    0        | 256    1472767        105811785    -       
32     32     3      3/8    | 0.64      11.14     68.99     1.86      82.65        39.74     | 990352   0        226696   28661    0        | 384    1472767        105811785    -       
32     32     4      4/8    | 0.63      11.13     59.17     1.88      72.83        45.09     | 990352   0        248264   7093     0        | 512    1472767        105811785    -       
32     32     5      5/8    | 0.58      10.75     57.42     1.79      70.57        46.54     | 990352   0        252229   3128     0        | 640    1472767        105811785    -       
32     32     6      6/8    | 0.62      11.09     55.22     1.85      68.80        47.73     | 990352   0        254708   649      0        | 768    1472767        105811785    -       
32     32     7      7/8    | 0.61      11.17     54.80     1.86      68.45        47.97     | 990352   0        255356   1        0        | 896    1472767        105811785    -       
32     32     8      8/8    | 0.62      11.25     54.80     1.85      68.54        47.91     | 990352   0        255357   0        0        | 1024   1472767        105811785    -       
