# Matrix: Si34H36
# Path: /home/stu1/Dataset/training_dataset/50k-200k-0.01-0.1/Si34H36.mtx
# Category: 50k-200k-0.01-0.1
# Date: 2026-03-09 16:12:01
# Configs: 81 (9 tiles x 9 TC thresholds)
# Version: AdaSpGEMM_new
#
# Rows: 97569
# Cols: 97569
# NNZ(A): 5156379
# NNZ(C) estimate: 736154859
#
tile_m tile_n tc_frc tc     | step1_ms  step2_ms  step3_ms  malloc    total_ms     gflops    | n_tiny   n_sml    n_lrg    n_dns    n_ful    | th_lrg tiles_C        nnzC         error   
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
8      8      0      0/8    | 0.85      21.98     55.79     1.59      80.23        18.35     | 3109783  0        0        1660314  31282    | 1      6954643        65211697     -       
8      8      1      1/8    | 0.82      21.95     55.81     1.56      80.17        18.37     | 3109783  0        0        1660314  31282    | 8      6954643        65211697     -       
8      8      2      2/8    | 0.83      21.86     53.04     1.58      77.34        19.04     | 3109783  0        521054   1139260  31282    | 16     6954643        65211697     -       
8      8      3      3/8    | 0.85      21.90     50.78     1.57      75.12        19.60     | 3109783  0        802546   857768   31282    | 24     6954643        65211697     -       
8      8      4      4/8    | 0.85      21.88     49.88     1.59      74.22        19.84     | 3109783  0        1009582  650732   31282    | 32     6954643        65211697     -       
8      8      5      5/8    | 0.88      21.92     46.43     1.59      70.83        20.79     | 3109783  0        1181872  478442   31282    | 40     6954643        65211697     -       
8      8      6      6/8    | 0.88      22.00     44.20     1.64      68.74        21.42     | 3109783  0        1304207  356107   31282    | 48     6954643        65211697     -       
8      8      7      7/8    | 0.90      22.34     40.88     1.67      65.81        22.37     | 3109783  0        1470169  190145   31282    | 56     6954643        65211697     -       
8      8      8      8/8    | 0.86      22.19     34.41     1.59      59.07        24.93     | 3109783  0        1691596  0        0        | 64     6954643        65211697     -       
8      16     0      0/8    | 0.93      26.36     62.05     1.63      90.98        16.18     | 3109783  0        0        1660314  31282    | 1      9365249        65211697     -       
8      16     1      1/8    | 0.95      26.29     62.02     1.64      90.91        16.19     | 3109783  0        0        1660314  31282    | 8      9365249        65211697     -       
8      16     2      2/8    | 0.97      26.30     57.08     1.68      86.06        17.11     | 3109783  0        521054   1139260  31282    | 16     9365249        65211697     -       
8      16     3      3/8    | 0.95      26.28     53.53     1.67      82.44        17.86     | 3109783  0        802546   857768   31282    | 24     9365249        65211697     -       
8      16     4      4/8    | 0.98      25.97     51.55     1.68      80.21        18.36     | 3109783  0        1009582  650732   31282    | 32     9365249        65211697     -       
8      16     5      5/8    | 0.94      25.82     47.04     1.66      75.47        19.51     | 3109783  0        1181872  478442   31282    | 40     9365249        65211697     -       
8      16     6      6/8    | 0.95      25.89     44.08     1.65      72.58        20.29     | 3109783  0        1304207  356107   31282    | 48     9365249        65211697     -       
8      16     7      7/8    | 1.01      26.47     39.87     1.79      69.17        21.29     | 3109783  0        1470169  190145   31282    | 56     9365249        65211697     -       
8      16     8      8/8    | 0.95      26.34     31.96     1.64      60.90        24.17     | 3109783  0        1691596  0        0        | 64     9365249        65211697     -       
8      32     0      0/8    | 1.23      32.98     82.02     1.78      118.04       12.47     | 3109783  0        0        1660314  31282    | 1      12635259       65211697     -       
8      32     1      1/8    | 1.23      32.98     82.05     1.75      118.04       12.47     | 3109783  0        0        1660314  31282    | 8      12635259       65211697     -       
8      32     2      2/8    | 1.24      32.89     71.76     1.75      107.67       13.67     | 3109783  0        521054   1139260  31282    | 16     12635259       65211697     -       
8      32     3      3/8    | 1.22      32.87     65.06     1.73      100.91       14.59     | 3109783  0        802546   857768   31282    | 24     12635259       65211697     -       
8      32     4      4/8    | 1.24      32.94     59.55     1.78      95.55        15.41     | 3109783  0        1009582  650732   31282    | 32     12635259       65211697     -       
8      32     5      5/8    | 1.24      32.90     54.42     1.76      90.35        16.30     | 3109783  0        1181872  478442   31282    | 40     12635259       65211697     -       
8      32     6      6/8    | 1.23      33.10     50.34     1.83      86.54        17.01     | 3109783  0        1304207  356107   31282    | 48     12635259       65211697     -       
8      32     7      7/8    | 1.23      32.83     44.58     1.76      80.44        18.30     | 3109783  0        1470169  190145   31282    | 56     12635259       65211697     -       
8      32     8      8/8    | 1.23      44.09     33.68     1.78      80.81        18.22     | 3109783  0        1691596  0        0        | 64     12635259       65211697     -       
16     8      0      0/8    | 0.76      12.05     55.94     1.49      70.26        20.95     | 1644939  0        0        532770   0        | 1      2645197        65211697     -       
16     8      1      1/8    | 0.70      11.95     55.89     1.45      70.01        21.03     | 1644939  0        0        532770   0        | 32     2645197        65211697     -       
16     8      2      2/8    | 0.71      11.95     49.35     1.45      63.47        23.20     | 1644939  0        226264   306506   0        | 64     2645197        65211697     -       
16     8      3      3/8    | 0.71      11.97     45.09     1.47      59.26        24.85     | 1644939  0        342208   190562   0        | 96     2645197        65211697     -       
16     8      4      4/8    | 0.73      11.90     42.28     1.48      56.41        26.10     | 1644939  0        408928   123842   0        | 128    2645197        65211697     -       
16     8      5      5/8    | 0.75      12.23     39.82     1.50      54.32        27.11     | 1644939  0        476624   56146    0        | 160    2645197        65211697     -       
