# Matrix: SiO2
# Path: /home/stu1/Dataset/training_dataset/50k-200k-0.01-0.1/SiO2.mtx
# Category: 50k-200k-0.01-0.1
# Date: 2026-03-09 16:29:42
# Configs: 81 (9 tiles x 9 TC thresholds)
# Version: AdaSpGEMM_new
#
# Rows: 155331
# Cols: 155331
# NNZ(A): 11283503
# NNZ(C) estimate: 14261280271
#
tile_m tile_n tc_frc tc     | step1_ms  step2_ms  step3_ms  malloc    total_ms     gflops    | n_tiny   n_sml    n_lrg    n_dns    n_ful    | th_lrg tiles_C        nnzC         error   
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
8      8      0      0/8    | 22.28     127.01    918.64    2.06      1070.00      26.66     | 5428084  0        0        2102892  160367   | 1      11336767       104839083    -       
8      8      1      1/8    | 23.85     128.04    937.08    2.05      1091.04      26.14     | 5428084  0        0        2102892  160367   | 8      11336767       104839083    -       
8      8      2      2/8    | 25.10     126.50    903.88    2.10      1057.61      26.97     | 5428084  0        532351   1570541  160367   | 16     11336767       104839083    -       
8      8      3      3/8    | 21.20     127.32    880.77    2.14      1031.46      27.65     | 5428084  0        823143   1279749  160367   | 24     11336767       104839083    -       
8      8      4      4/8    | 24.35     126.33    852.89    2.04      1005.63      28.36     | 5428084  0        1065812  1037080  160367   | 32     11336767       104839083    -       
8      8      5      5/8    | 26.88     125.10    811.75    2.13      965.87       29.53     | 5428084  0        1315444  787448   160367   | 40     11336767       104839083    -       
8      8      6      6/8    | 22.19     121.37    771.19    2.06      916.84       31.11     | 5428084  0        1505798  597094   160367   | 48     11336767       104839083    -       
8      8      7      7/8    | 21.80     123.40    678.61    2.25      826.09       34.53     | 5428084  0        1790901  311991   160367   | 56     11336767       104839083    -       
8      8      8      8/8    | 21.68     125.66    719.63    2.09      869.08       32.82     | 5428084  0        2263259  0        0        | 64     11336767       104839083    -       
8      16     0      0/8    | 27.92     125.60    924.26    2.24      1080.05      26.41     | 5428084  0        0        2102892  160367   | 1      15528979       104839083    -       
8      16     1      1/8    | 32.12     130.21    921.75    2.21      1086.31      26.26     | 5428084  0        0        2102892  160367   | 8      15528979       104839083    -       
8      16     2      2/8    | 27.30     124.12    878.61    2.25      1032.30      27.63     | 5428084  0        532351   1570541  160367   | 16     15528979       104839083    -       
8      16     3      3/8    | 29.40     127.54    846.31    2.24      1005.53      28.37     | 5428084  0        823143   1279749  160367   | 24     15528979       104839083    -       
8      16     4      4/8    | 26.44     125.70    813.70    2.29      968.15       29.46     | 5428084  0        1065812  1037080  160367   | 32     15528979       104839083    -       
8      16     5      5/8    | 28.21     129.83    759.18    2.24      919.48       31.02     | 5428084  0        1315444  787448   160367   | 40     15528979       104839083    -       
8      16     6      6/8    | 33.94     127.54    722.29    2.23      886.02       32.19     | 5428084  0        1505798  597094   160367   | 48     15528979       104839083    -       
8      16     7      7/8    | 23.52     128.38    637.84    2.31      792.10       36.01     | 5428084  0        1790901  311991   160367   | 56     15528979       104839083    -       
8      16     8      8/8    | 34.38     127.63    697.63    2.19      861.84       33.09     | 5428084  0        2263259  0        0        | 64     15528979       104839083    -       
8      32     0      0/8    | 39.40     128.04    1050.97   4.25      1222.71      23.33     | 5428042  0        0        2102881  161416   | 1      21612977       104905721    -       
8      32     1      1/8    | 34.00     121.98    1050.52   2.62      1209.14      23.59     | 5428042  0        0        2102881  161416   | 8      21612977       104905721    -       
8      32     2      2/8    | 42.38     120.14    985.21    2.61      1150.36      24.79     | 5428042  0        532348   1570533  161416   | 16     21612977       104905721    -       
8      32     3      3/8    | 38.27     122.16    939.11    4.07      1103.62      25.84     | 5428042  0        823137   1279744  161416   | 24     21612977       104905721    -       
8      32     4      4/8    | 33.13     124.58    894.81    2.62      1055.19      27.03     | 5428042  0        1065806  1037075  161416   | 32     21612977       104905721    -       
8      32     5      5/8    | 43.00     124.41    838.01    2.65      1008.10      28.29     | 5428042  0        1315437  787444   161416   | 40     21612977       104905721    -       
8      32     6      6/8    | 34.88     126.61    785.62    2.61      949.74       30.03     | 5428042  0        1505791  597090   161416   | 48     21612977       104905721    -       
8      32     7      7/8    | 44.35     125.78    681.70    2.59      854.44       33.38     | 5428042  0        1790892  311989   161416   | 56     21612977       104905721    -       
8      32     8      8/8    | 45.48     123.09    686.66    2.57      857.82       33.25     | 5428042  0        2264297  0        0        | 64     21612977       104905721    -       
16     8      0      0/8    | 6.01      70.39     860.17    1.89      938.48       30.39     | 2762819  0        0        768689   893      | 1      4328687        104839083    -       
16     8      1      1/8    | 5.47      76.88     857.98    1.90      942.25       30.27     | 2762819  0        0        768689   893      | 32     4328687        104839083    -       
16     8      2      2/8    | 4.48      78.07     779.41    1.87      863.84       33.02     | 2762819  0        245426   523263   893      | 64     4328687        104839083    -       
16     8      3      3/8    | 5.74      74.94     699.51    1.95      782.17       36.47     | 2762819  0        416512   352177   893      | 96     4328687        104839083    -       
16     8      4      4/8    | 5.99      78.78     648.73    1.87      735.40       38.79     | 2762819  0        526098   242591   893      | 128    4328687        104839083    -       
16     8      5      5/8    | 3.63      73.99     598.58    1.87      678.09       42.06     | 2762819  0        651295   117394   893      | 160    4328687        104839083    -       
16     8      6      6/8    | 3.90      77.92     581.67    1.88      665.40       42.87     | 2762819  0        729217   39472    893      | 192    4328687        104839083    -       
16     8      7      7/8    | 4.67      74.67     582.63    1.84      663.83       42.97     | 2762819  0        746595   22094    893      | 224    4328687        104839083    -       
16     8      8      8/8    | 2.15      37.46     297.79    1.84      339.26       84.07     | 2762819  0        769582   0        0        | 256    4328687        104839083    -       
16     16     0      0/8    | 1.70      28.33     423.16    1.86      455.07       62.68     | 2762819  0        0        768689   893      | 1      5316543        104839083    -       
16     16     1      1/8    | 1.65      27.91     418.47    1.84      449.88       63.40     | 2762819  0        0        768689   893      | 32     5316543        104839083    -       
16     16     2      2/8    | 1.67      28.17     369.89    1.84      401.58       71.03     | 2762819  0        245426   523263   893      | 64     5316543        104839083    -       
16     16     3      3/8    | 1.58      27.97     333.79    1.95      365.30       78.08     | 2762819  0        416512   352177   893      | 96     5316543        104839083    -       
16     16     4      4/8    | 1.78      28.21     303.52    1.96      335.49       85.02     | 2762819  0        526098   242591   893      | 128    5316543        104839083    -       
16     16     5      5/8    | 1.73      28.45     284.14    1.86      316.20       90.20     | 2762819  0        651295   117394   893      | 160    5316543        104839083    -       
16     16     6      6/8    | 1.69      28.30     276.40    1.84      308.25       92.53     | 2762819  0        729217   39472    893      | 192    5316543        104839083    -       
16     16     7      7/8    | 1.68      28.44     283.75    1.86      315.75       90.33     | 2762819  0        746595   22094    893      | 224    5316543        104839083    -       
16     16     8      8/8    | 1.69      28.16     298.06    1.87      329.80       86.48     | 2762819  0        769582   0        0        | 256    5316543        104839083    -       
16     32     0      0/8    | 1.39      28.87     448.72    2.02      481.01       59.30     | 2762819  0        0        768689   893      | 1      6477889        104839083    -       
16     32     1      1/8    | 1.42      28.70     449.66    2.03      481.84       59.19     | 2762819  0        0        768689   893      | 32     6477889        104839083    -       
16     32     2      2/8    | 1.46      29.00     392.37    2.03      424.89       67.13     | 2762819  0        245426   523263   893      | 64     6477889        104839083    -       
16     32     3      3/8    | 1.36      28.92     343.39    1.97      375.67       75.93     | 2762819  0        416512   352177   893      | 96     6477889        104839083    -       
16     32     4      4/8    | 1.38      28.79     311.42    2.02      343.64       83.00     | 2762819  0        526098   242591   893      | 128    6477889        104839083    -       
16     32     5      5/8    | 1.50      28.65     286.49    2.02      318.69       89.50     | 2762819  0        651295   117394   893      | 160    6477889        104839083    -       
16     32     6      6/8    | 1.30      28.56     277.04    2.00      308.91       92.33     | 2762819  0        729217   39472    893      | 192    6477889        104839083    -       
16     32     7      7/8    | 1.35      28.71     287.42    1.99      319.49       89.28     | 2762819  0        746595   22094    893      | 224    6477889        104839083    -       
16     32     8      8/8    | 1.40      28.51     301.97    1.98      333.88       85.43     | 2762819  0        769582   0        0        | 256    6477889        104839083    -       
32     8      0      0/8    | 1.73      23.40     406.89    1.71      433.75       65.76     | 1275367  0        0        246716   0        | 1      1671109        104839083    -       
32     8      1      1/8    | 1.64      23.49     406.61    1.71      433.46       65.80     | 1275367  0        0        246716   0        | 128    1671109        104839083    -       
32     8      2      2/8    | 1.71      23.40     325.26    1.73      352.12       81.00     | 1275367  0        130046   116670   0        | 256    1671109        104839083    -       
32     8      3      3/8    | 1.91      23.16     300.98    1.83      327.90       86.99     | 1275367  0        214912   31804    0        | 384    1671109        104839083    -       
32     8      4      4/8    | 1.72      23.40     303.83    1.83      330.80       86.22     | 1275367  0        235944   10772    0        | 512    1671109        104839083    -       
32     8      5      5/8    | 1.86      23.25     306.28    1.76      333.17       85.61     | 1275367  0        242101   4615     0        | 640    1671109        104839083    -       
32     8      6      6/8    | 1.81      23.35     305.71    1.76      332.65       85.74     | 1275367  0        245864   852      0        | 768    1671109        104839083    -       
32     8      7      7/8    | 1.85      23.10     301.53    1.73      328.23       86.90     | 1275367  0        246708   8        0        | 896    1671109        104839083    -       
32     8      8      8/8    | 1.75      23.20     302.38    1.80      329.15       86.66     | 1275367  0        246716   0        0        | 1024   1671109        104839083    -       
32     16     0      0/8    | 1.48      19.40     482.49    2.04      505.47       56.43     | 1275367  0        0        246716   0        | 1      1839783        104839083    -       
32     16     1      1/8    | 1.66      25.52     551.98    2.01      581.20       49.08     | 1275367  0        0        246716   0        | 128    1839783        104839083    -       
32     16     2      2/8    | 1.36      19.24     363.08    1.81      385.51       73.99     | 1275367  0        130046   116670   0        | 256    1839783        104839083    -       
32     16     3      3/8    | 1.48      19.06     314.34    1.94      336.84       84.68     | 1275367  0        214912   31804    0        | 384    1839783        104839083    -       
32     16     4      4/8    | 1.55      24.46     374.24    1.96      402.23       70.91     | 1275367  0        235944   10772    0        | 512    1839783        104839083    -       
32     16     5      5/8    | 1.39      18.99     314.85    1.91      337.14       84.60     | 1275367  0        242101   4615     0        | 640    1839783        104839083    -       
