# Matrix: bmw7st_1
# Path: /home/stu1/Dataset/training_dataset/50k-200k-0.01-0.1/bmw7st_1.mtx
# Category: 50k-200k-0.01-0.1
# Date: 2026-03-09 12:29:54
# Configs: 81 (9 tiles x 9 TC thresholds)
# Version: AdaSpGEMM_new
#
# Rows: 141347
# Cols: 141347
# NNZ(A): 7339667
# NNZ(C) estimate: 404009259
#
tile_m tile_n tc_frc tc     | step1_ms  step2_ms  step3_ms  malloc    total_ms     gflops    | n_tiny   n_sml    n_lrg    n_dns    n_ful    | th_lrg tiles_C        nnzC         error   
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
8      8      0      0/8    | 1.01      6.77      6.18      1.04      15.02        53.81     | 179742   0        0        547672   97593    | 1      1999847        23574259     -       
8      8      1      1/8    | 0.88      7.20      6.16      1.04      15.30        52.82     | 179742   0        0        547672   97593    | 8      1999847        23574259     -       
8      8      2      2/8    | 0.90      7.12      6.15      1.07      15.26        52.95     | 179742   0        145214   402458   97593    | 16     1999847        23574259     -       
8      8      3      3/8    | 1.24      5.05      6.17      1.22      13.70        58.96     | 179742   0        256878   290794   97593    | 24     1999847        23574259     -       
8      8      4      4/8    | 0.89      5.03      6.51      1.06      13.52        59.78     | 179742   0        346571   201101   97593    | 32     1999847        23574259     -       
8      8      5      5/8    | 0.90      5.01      6.65      1.03      13.61        59.38     | 179742   0        423199   124473   97593    | 40     1999847        23574259     -       
8      8      6      6/8    | 1.22      5.44      7.10      1.22      15.00        53.88     | 179742   0        482415   65257    97593    | 48     1999847        23574259     -       
8      8      7      7/8    | 0.89      7.52      7.48      1.07      16.98        47.60     | 179742   0        528352   19320    97593    | 56     1999847        23574259     -       
8      8      8      8/8    | 0.88      7.31      9.99      1.06      19.26        41.96     | 179742   0        645265   0        0        | 64     1999847        23574259     -       
8      16     0      0/8    | 0.88      8.84      6.53      1.06      17.32        46.64     | 179742   0        0        547672   97593    | 1      2503027        23574259     -       
8      16     1      1/8    | 0.89      8.73      6.54      1.08      17.26        46.81     | 179742   0        0        547672   97593    | 8      2503027        23574259     -       
8      16     2      2/8    | 0.91      8.82      6.33      1.10      17.18        47.05     | 179742   0        145214   402458   97593    | 16     2503027        23574259     -       
8      16     3      3/8    | 0.88      8.72      6.26      1.09      16.96        47.64     | 179742   0        256878   290794   97593    | 24     2503027        23574259     -       
8      16     4      4/8    | 0.88      8.74      6.56      1.07      17.26        46.82     | 179742   0        346571   201101   97593    | 32     2503027        23574259     -       
8      16     5      5/8    | 1.27      6.37      6.69      1.15      15.50        52.13     | 179742   0        423199   124473   97593    | 40     2503027        23574259     -       
8      16     6      6/8    | 0.90      6.21      7.03      1.04      15.19        53.20     | 179742   0        482415   65257    97593    | 48     2503027        23574259     -       
8      16     7      7/8    | 0.92      6.20      7.38      1.09      15.61        51.77     | 179742   0        528352   19320    97593    | 56     2503027        23574259     -       
8      16     8      8/8    | 0.89      6.39      9.83      1.06      18.19        44.41     | 179742   0        645265   0        0        | 64     2503027        23574259     -       
8      32     0      0/8    | 0.96      8.09      10.06     1.11      20.23        39.94     | 179742   0        0        547672   97593    | 1      3289535        23574259     -       
8      32     1      1/8    | 0.96      8.05      10.07     1.09      20.19        40.02     | 179742   0        0        547672   97593    | 8      3289535        23574259     -       
8      32     2      2/8    | 0.98      8.04      9.44      1.11      19.58        41.26     | 179742   0        145214   402458   97593    | 16     3289535        23574259     -       
8      32     3      3/8    | 0.96      8.10      8.94      1.11      19.15        42.20     | 179742   0        256878   290794   97593    | 24     3289535        23574259     -       
8      32     4      4/8    | 1.17      8.05      8.66      1.16      19.06        42.38     | 179742   0        346571   201101   97593    | 32     3289535        23574259     -       
8      32     5      5/8    | 0.96      11.17     8.46      1.11      21.72        37.20     | 179742   0        423199   124473   97593    | 40     3289535        23574259     -       
8      32     6      6/8    | 0.97      11.30     8.44      1.14      21.87        36.94     | 179742   0        482415   65257    97593    | 48     3289535        23574259     -       
8      32     7      7/8    | 1.00      11.28     8.42      1.10      21.83        37.02     | 179742   0        528352   19320    97593    | 56     3289535        23574259     -       
8      32     8      8/8    | 0.96      11.51     9.86      1.09      23.44        34.47     | 179742   0        645265   0        0        | 64     3289535        23574259     -       
16     8      0      0/8    | 0.29      3.04      6.63      0.97      10.94        73.89     | 134267   0        0        210264   5852     | 1      825135         23574259     -       
16     8      1      1/8    | 0.34      2.21      6.62      1.04      10.24        78.90     | 134267   0        0        210264   5852     | 32     825135         23574259     -       
16     8      2      2/8    | 0.34      2.20      6.66      0.98      10.20        79.22     | 134267   0        83120    127144   5852     | 64     825135         23574259     -       
16     8      3      3/8    | 0.29      3.05      6.39      0.94      10.69        75.60     | 134267   0        134444   75820    5852     | 96     825135         23574259     -       
16     8      4      4/8    | 0.29      3.07      6.84      0.94      11.16        72.42     | 134267   0        160867   49397    5852     | 128    825135         23574259     -       
16     8      5      5/8    | 0.36      2.22      7.34      1.04      10.97        73.64     | 134267   0        180792   29472    5852     | 160    825135         23574259     -       
16     8      6      6/8    | 0.29      2.17      7.67      0.99      11.14        72.51     | 134267   0        192949   17315    5852     | 192    825135         23574259     -       
16     8      7      7/8    | 0.34      2.23      8.11      1.02      11.72        68.97     | 134267   0        202100   8164     5852     | 224    825135         23574259     -       
16     8      8      8/8    | 0.28      2.99      9.11      0.99      13.39        60.36     | 134267   0        216116   0        0        | 256    825135         23574259     -       
16     16     0      0/8    | 0.38      3.77      6.33      0.98      11.48        70.40     | 134267   0        0        210264   5852     | 1      1022881        23574259     -       
16     16     1      1/8    | 0.25      3.90      6.33      0.99      11.49        70.32     | 134267   0        0        210264   5852     | 32     1022881        23574259     -       
16     16     2      2/8    | 0.24      3.86      6.27      1.05      11.43        70.69     | 134267   0        83120    127144   5852     | 64     1022881        23574259     -       
16     16     3      3/8    | 0.31      2.72      6.24      1.17      10.46        77.26     | 134267   0        134444   75820    5852     | 96     1022881        23574259     -       
16     16     4      4/8    | 0.25      2.64      6.67      1.00      10.57        76.44     | 134267   0        160867   49397    5852     | 128    1022881        23574259     -       
16     16     5      5/8    | 0.25      2.65      7.20      1.04      11.15        72.47     | 134267   0        180792   29472    5852     | 160    1022881        23574259     -       
16     16     6      6/8    | 0.25      2.65      7.65      1.02      11.59        69.70     | 134267   0        192949   17315    5852     | 192    1022881        23574259     -       
16     16     7      7/8    | 0.30      2.71      8.12      1.14      12.30        65.70     | 134267   0        202100   8164     5852     | 224    1022881        23574259     -       
16     16     8      8/8    | 0.30      2.75      9.19      1.17      13.43        60.17     | 134267   0        216116   0        0        | 256    1022881        23574259     -       
16     32     0      0/8    | 0.23      3.35      10.03     1.07      14.70        54.98     | 134267   0        0        210264   5852     | 1      1322283        23574259     -       
16     32     1      1/8    | 0.23      3.47      10.05     1.09      14.86        54.38     | 134267   0        0        210264   5852     | 32     1322283        23574259     -       
16     32     2      2/8    | 0.24      3.48      8.94      1.10      13.78        58.62     | 134267   0        83120    127144   5852     | 64     1322283        23574259     -       
16     32     3      3/8    | 0.24      3.37      8.06      1.10      12.79        63.17     | 134267   0        134444   75820    5852     | 96     1322283        23574259     -       
16     32     4      4/8    | 0.24      3.37      7.97      1.08      12.66        63.80     | 134267   0        160867   49397    5852     | 128    1322283        23574259     -       
16     32     5      5/8    | 0.24      3.47      8.08      1.08      12.89        62.69     | 134267   0        180792   29472    5852     | 160    1322283        23574259     -       
16     32     6      6/8    | 0.24      3.38      8.23      1.07      12.93        62.50     | 134267   0        192949   17315    5852     | 192    1322283        23574259     -       
16     32     7      7/8    | 0.24      3.40      8.45      1.15      13.25        60.97     | 134267   0        202100   8164     5852     | 224    1322283        23574259     -       
16     32     8      8/8    | 0.24      3.35      9.46      1.07      14.13        57.16     | 134267   0        216116   0        0        | 256    1322283        23574259     -       
32     8      0      0/8    | 0.32      1.42      11.14     1.02      13.91        58.08     | 110585   0        0        56150    257      | 1      378490         23574259     -       
32     8      1      1/8    | 0.33      1.38      11.27     1.06      14.05        57.52     | 110585   0        0        56150    257      | 128    378490         23574259     -       
32     8      2      2/8    | 0.31      1.41      9.94      1.04      12.72        63.53     | 110585   0        29220    26930    257      | 256    378490         23574259     -       
32     8      3      3/8    | 0.33      1.40      8.87      1.03      11.65        69.35     | 110585   0        41113    15037    257      | 384    378490         23574259     -       
32     8      4      4/8    | 0.32      1.40      8.60      0.99      11.33        71.30     | 110585   0        47637    8513     257      | 512    378490         23574259     -       
32     8      5      5/8    | 0.27      1.56      8.62      1.01      11.47        70.44     | 110585   0        51912    4238     257      | 640    378490         23574259     -       
32     8      6      6/8    | 0.27      1.57      8.75      1.00      11.61        69.58     | 110585   0        54798    1352     257      | 768    378490         23574259     -       
32     8      7      7/8    | 0.28      1.60      8.90      1.02      11.81        68.39     | 110585   0        55734    416      257      | 896    378490         23574259     -       
32     8      8      8/8    | 0.28      1.55      9.29      1.00      12.12        66.64     | 110585   0        56407    0        0        | 1024   378490         23574259     -       
32     16     0      0/8    | 0.22      1.76      11.97     1.03      15.00        53.88     | 110585   0        0        56150    257      | 1      459858         23574259     -       
32     16     1      1/8    | 0.23      1.78      12.14     1.05      15.22        53.10     | 110585   0        0        56150    257      | 128    459858         23574259     -       
32     16     2      2/8    | 0.23      1.75      10.26     1.04      13.30        60.77     | 110585   0        29220    26930    257      | 256    459858         23574259     -       
32     16     3      3/8    | 0.26      1.45      9.02      1.10      11.85        68.16     | 110585   0        41113    15037    257      | 384    459858         23574259     -       
32     16     4      4/8    | 0.23      1.42      8.75      1.04      11.45        70.55     | 110585   0        47637    8513     257      | 512    459858         23574259     -       
32     16     5      5/8    | 0.26      1.46      8.91      1.04      11.70        69.09     | 110585   0        51912    4238     257      | 640    459858         23574259     -       
32     16     6      6/8    | 0.22      1.80      9.23      1.05      12.31        65.66     | 110585   0        54798    1352     257      | 768    459858         23574259     -       
32     16     7      7/8    | 0.22      1.78      9.35      1.04      12.41        65.10     | 110585   0        55734    416      257      | 896    459858         23574259     -       
32     16     8      8/8    | 0.22      1.80      9.35      1.03      12.41        65.08     | 110585   0        56407    0        0        | 1024   459858         23574259     -       
32     32     0      0/8    | 0.23      1.65      11.56     1.13      14.59        55.37     | 110585   0        0        56150    257      | 1      588102         23574259     -       
32     32     1      1/8    | 0.23      1.67      11.52     1.06      14.49        55.76     | 110585   0        0        56150    257      | 128    588102         23574259     -       
32     32     2      2/8    | 0.19      2.23      9.66      1.00      13.09        61.72     | 110585   0        29220    26930    257      | 256    588102         23574259     -       
32     32     3      3/8    | 0.20      2.21      8.68      1.02      12.12        66.65     | 110585   0        41113    15037    257      | 384    588102         23574259     -       
32     32     4      4/8    | 0.20      2.22      8.75      1.03      12.22        66.14     | 110585   0        47637    8513     257      | 512    588102         23574259     -       
32     32     5      5/8    | 0.24      1.69      9.10      1.08      12.14        66.58     | 110585   0        51912    4238     257      | 640    588102         23574259     -       
32     32     6      6/8    | 0.24      1.68      9.58      1.08      12.59        64.18     | 110585   0        54798    1352     257      | 768    588102         23574259     -       
32     32     7      7/8    | 0.25      1.71      9.77      1.14      12.89        62.70     | 110585   0        55734    416      257      | 896    588102         23574259     -       
32     32     8      8/8    | 0.20      1.58      9.78      1.02      12.60        64.15     | 110585   0        56407    0        0        | 1024   588102         23574259     -       
