# Matrix: boneS01
# Path: /home/stu1/Dataset/training_dataset/50k-200k-0.01-0.1/boneS01.mtx
# Category: 50k-200k-0.01-0.1
# Date: 2026-03-09 12:37:36
# Configs: 81 (9 tiles x 9 TC thresholds)
# Version: AdaSpGEMM_new
#
# Rows: 127224
# Cols: 127224
# NNZ(A): 6715152
# NNZ(C) estimate: 394029846
#
tile_m tile_n tc_frc tc     | step1_ms  step2_ms  step3_ms  malloc    total_ms     gflops    | n_tiny   n_sml    n_lrg    n_dns    n_ful    | th_lrg tiles_C        nnzC         error   
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
8      8      0      0/8    | 0.28      5.54      6.99      1.09      13.91        56.66     | 236680   0        0        715004   26559    | 1      1635139        25515702     -       
8      8      1      1/8    | 0.26      5.64      6.98      1.07      13.97        56.40     | 236680   0        0        715004   26559    | 8      1635139        25515702     -       
8      8      2      2/8    | 0.27      4.40      7.00      1.08      12.76        61.76     | 236680   0        169028   545976   26559    | 16     1635139        25515702     -       
8      8      3      3/8    | 0.27      4.15      6.97      1.07      12.47        63.17     | 236680   0        292182   422822   26559    | 24     1635139        25515702     -       
8      8      4      4/8    | 0.27      4.16      7.45      1.04      12.92        60.97     | 236680   0        413226   301778   26559    | 32     1635139        25515702     -       
8      8      5      5/8    | 0.27      4.15      7.19      1.04      12.67        62.19     | 236680   0        500926   214078   26559    | 40     1635139        25515702     -       
8      8      6      6/8    | 0.27      4.17      7.54      1.03      13.03        60.50     | 236680   0        577446   137558   26559    | 48     1635139        25515702     -       
8      8      7      7/8    | 0.27      4.19      8.03      1.06      13.56        58.12     | 236680   0        644821   70183    26559    | 56     1635139        25515702     -       
8      8      8      8/8    | 0.26      4.20      9.32      1.05      14.85        53.05     | 236680   0        741563   0        0        | 64     1635139        25515702     -       
8      16     0      0/8    | 0.26      5.30      7.95      1.04      14.57        54.07     | 236680   0        0        715004   26559    | 1      2113803        25515702     -       
8      16     1      1/8    | 0.25      5.40      7.95      1.06      14.69        53.66     | 236680   0        0        715004   26559    | 8      2113803        25515702     -       
8      16     2      2/8    | 0.26      5.45      7.72      1.08      14.53        54.25     | 236680   0        169028   545976   26559    | 16     2113803        25515702     -       
8      16     3      3/8    | 0.26      5.28      7.54      1.04      14.13        55.76     | 236680   0        292182   422822   26559    | 24     2113803        25515702     -       
8      16     4      4/8    | 0.25      5.64      7.79      1.11      14.81        53.19     | 236680   0        413226   301778   26559    | 32     2113803        25515702     -       
8      16     5      5/8    | 0.26      5.33      7.50      1.07      14.17        55.63     | 236680   0        500926   214078   26559    | 40     2113803        25515702     -       
8      16     6      6/8    | 0.26      5.31      7.77      1.08      14.44        54.58     | 236680   0        577446   137558   26559    | 48     2113803        25515702     -       
8      16     7      7/8    | 0.26      5.29      8.19      1.05      14.81        53.23     | 236680   0        644821   70183    26559    | 56     2113803        25515702     -       
8      16     8      8/8    | 0.25      5.28      9.20      1.03      15.78        49.93     | 236680   0        741563   0        0        | 64     2113803        25515702     -       
8      32     0      0/8    | 0.30      7.34      12.64     1.10      21.40        36.82     | 236680   0        0        715004   26559    | 1      2933261        25515702     -       
8      32     1      1/8    | 0.29      7.33      12.65     1.12      21.40        36.82     | 236680   0        0        715004   26559    | 8      2933261        25515702     -       
8      32     2      2/8    | 0.30      7.50      11.83     1.10      20.75        37.98     | 236680   0        169028   545976   26559    | 16     2933261        25515702     -       
8      32     3      3/8    | 0.30      7.43      11.17     1.09      20.01        39.38     | 236680   0        292182   422822   26559    | 24     2933261        25515702     -       
