# Matrix: engine
# Path: /home/stu1/Dataset/training_dataset/50k-200k-0.01-0.1/engine.mtx
# Category: 50k-200k-0.01-0.1
# Date: 2026-03-09 13:03:03
# Configs: 81 (9 tiles x 9 TC thresholds)
# Version: AdaSpGEMM_new
#
# Rows: 143571
# Cols: 143571
# NNZ(A): 4706073
# NNZ(C) estimate: 195163263
#
tile_m tile_n tc_frc tc     | step1_ms  step2_ms  step3_ms  malloc    total_ms     gflops    | n_tiny   n_sml    n_lrg    n_dns    n_ful    | th_lrg tiles_C        nnzC         error   
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
8      8      0      0/8    | 3.43      24.97     12.91     1.49      42.83        9.11      | 747810   0        0        1073839  11554    | 1      9592267        24672897     -       
8      8      1      1/8    | 3.15      24.05     12.88     1.36      41.47        9.41      | 747810   0        0        1073839  11554    | 8      9592267        24672897     -       
8      8      2      2/8    | 3.21      24.31     11.29     1.38      40.21        9.71      | 747810   0        564289   509550   11554    | 16     9592267        24672897     -       
8      8      3      3/8    | 3.60      24.04     9.94      1.34      38.94        10.02     | 747810   0        883078   190761   11554    | 24     9592267        24672897     -       
8      8      4      4/8    | 3.16      24.13     10.44     1.33      39.09        9.99      | 747810   0        959707   114132   11554    | 32     9592267        24672897     -       
8      8      5      5/8    | 3.20      24.19     9.30      1.37      38.07        10.25     | 747810   0        1017324  56515    11554    | 40     9592267        24672897     -       
8      8      6      6/8    | 3.17      23.96     9.15      1.35      37.66        10.37     | 747810   0        1049446  24393    11554    | 48     9592267        24672897     -       
8      8      7      7/8    | 3.48      24.39     9.05      1.41      38.36        10.17     | 747810   0        1066969  6870     11554    | 56     9592267        24672897     -       
8      8      8      8/8    | 3.21      24.04     8.85      1.35      37.46        10.42     | 747810   0        1085393  0        0        | 64     9592267        24672897     -       
8      16     0      0/8    | 7.29      39.24     15.48     1.64      63.67        6.13      | 747810   0        0        1073839  11554    | 1      15379363       24672897     -       
