# Matrix: mono_500Hz
# Path: /home/stu1/Dataset/training_dataset/50k-200k-0.01-0.1/mono_500Hz.mtx
# Category: 50k-200k-0.01-0.1
# Date: 2026-03-09 15:00:10
# Configs: 81 (9 tiles x 9 TC thresholds)
# Version: AdaSpGEMM_new
#
# Rows: 169410
# Cols: 169410
# NNZ(A): 5036288
# NNZ(C) estimate: 204030968
#
tile_m tile_n tc_frc tc     | step1_ms  step2_ms  step3_ms  malloc    total_ms     gflops    | n_tiny   n_sml    n_lrg    n_dns    n_ful    | th_lrg tiles_C        nnzC         error   
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
8      8      0      0/8    | 53.24     137.72    54.25     5.67      250.90       1.63      | 5346040  0        0        1284137  5588     | 1      54778013       41398279     -       
8      8      1      1/8    | 53.44     137.92    54.25     5.76      251.41       1.62      | 5346040  0        0        1284137  5588     | 8      54778013       41398279     -       
8      8      2      2/8    | 53.37     139.31    48.08     5.68      246.47       1.66      | 5346040  0        798798   485339   5588     | 16     54778013       41398279     -       
8      8      3      3/8    | 53.00     138.95    45.79     5.65      243.41       1.68      | 5346040  0        1054221  229916   5588     | 24     54778013       41398279     -       
8      8      4      4/8    | 53.15     139.19    46.32     5.65      244.33       1.67      | 5346040  0        1171914  112223   5588     | 32     54778013       41398279     -       
8      8      5      5/8    | 53.39     138.99    43.84     5.67      241.91       1.69      | 5346040  0        1235545  48592    5588     | 40     54778013       41398279     -       
8      8      6      6/8    | 53.13     139.83    43.60     5.66      242.25       1.68      | 5346040  0        1265294  18843    5588     | 48     54778013       41398279     -       
8      8      7      7/8    | 52.97     140.50    43.45     5.66      242.60       1.68      | 5346040  0        1280830  3307     5588     | 56     54778013       41398279     -       
8      8      8      8/8    | 53.05     138.63    43.11     5.66      240.47       1.70      | 5346040  0        1289725  0        0        | 64     54778013       41398279     -       
8      16     0      0/8    | 107.06    200.92    63.85     7.09      378.94       1.08      | 5346292  0        0        1282657  5588     | 1      79675981       41377964     -       
8      16     1      1/8    | 106.81    200.71    63.85     7.08      378.48       1.08      | 5346292  0        0        1282657  5588     | 8      79675981       41377964     -       
8      16     2      2/8    | 107.24    202.67    54.26     7.10      371.29       1.10      | 5346292  0        797318   485339   5588     | 16     79675981       41377964     -       
8      16     3      3/8    | 107.30    200.29    50.81     7.06      365.48       1.12      | 5346292  0        1052741  229916   5588     | 24     79675981       41377964     -       
8      16     4      4/8    | 107.36    200.70    50.58     7.08      365.73       1.12      | 5346292  0        1170434  112223   5588     | 32     79675981       41377964     -       
8      16     5      5/8    | 106.70    201.74    47.90     7.06      363.43       1.12      | 5346292  0        1234065  48592    5588     | 40     79675981       41377964     -       
8      16     6      6/8    | 106.61    200.18    47.44     7.05      361.30       1.13      | 5346292  0        1263814  18843    5588     | 48     79675981       41377964     -       
8      16     7      7/8    | 106.88    201.39    47.19     7.07      362.56       1.13      | 5346292  0        1279350  3307     5588     | 56     79675981       41377964     -       
