# Matrix: t3dh_e
# Path: /home/stu1/Dataset/training_dataset/50k-200k-0.01-0.1/t3dh_e.mtx
# Category: 50k-200k-0.01-0.1
# Date: 2026-03-09 16:35:10
# Configs: 81 (9 tiles x 9 TC thresholds)
# Version: AdaSpGEMM_new
#
# Rows: 79171
# Cols: 79171
# NNZ(A): 4352105
# NNZ(C) estimate: 255940359
#
tile_m tile_n tc_frc tc     | step1_ms  step2_ms  step3_ms  malloc    total_ms     gflops    | n_tiny   n_sml    n_lrg    n_dns    n_ful    | th_lrg tiles_C        nnzC         error   
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
8      8      0      0/8    | 0.68      13.27     24.76     1.19      39.93        12.82     | 964867   0        0        1028917  3407     | 1      3397507        25021537     -       
8      8      1      1/8    | 0.58      12.84     24.71     1.13      39.28        13.03     | 964867   0        0        1028917  3407     | 8      3397507        25021537     -       
8      8      2      2/8    | 0.58      12.98     21.86     1.13      36.57        14.00     | 964867   0        500904   528013   3407     | 16     3397507        25021537     -       
8      8      3      3/8    | 0.57      12.89     19.86     1.13      34.46        14.85     | 964867   0        773616   255301   3407     | 24     3397507        25021537     -       
8      8      4      4/8    | 0.59      12.94     19.88     1.13      34.55        14.81     | 964867   0        913222   115695   3407     | 32     3397507        25021537     -       
8      8      5      5/8    | 0.59      12.93     17.75     1.13      32.42        15.79     | 964867   0        980116   48801    3407     | 40     3397507        25021537     -       
8      8      6      6/8    | 0.58      12.82     17.43     1.14      31.98        16.01     | 964867   0        1009362  19555    3407     | 48     3397507        25021537     -       
8      8      7      7/8    | 0.57      12.81     17.18     1.11      31.68        16.16     | 964867   0        1025041  3876     3407     | 56     3397507        25021537     -       
8      8      8      8/8    | 0.58      13.23     17.08     1.14      32.05        15.97     | 964867   0        1032324  0        0        | 64     3397507        25021537     -       
8      16     0      0/8    | 0.60      12.02     26.25     1.14      40.03        12.79     | 964867   0        0        1028917  3407     | 1      3581959        25021537     -       
8      16     1      1/8    | 0.59      12.15     26.25     1.11      40.12        12.76     | 964867   0        0        1028917  3407     | 8      3581959        25021537     -       
8      16     2      2/8    | 0.59      11.77     21.45     1.12      34.95        14.65     | 964867   0        500904   528013   3407     | 16     3581959        25021537     -       
8      16     3      3/8    | 0.59      11.73     18.44     1.11      31.89        16.05     | 964867   0        773616   255301   3407     | 24     3581959        25021537     -       
8      16     4      4/8    | 0.60      11.96     17.66     1.12      31.36        16.32     | 964867   0        913222   115695   3407     | 32     3581959        25021537     -       
8      16     5      5/8    | 0.60      11.89     15.54     1.12      29.17        17.55     | 964867   0        980116   48801    3407     | 40     3581959        25021537     -       
8      16     6      6/8    | 0.60      11.91     15.10     1.10      28.73        17.82     | 964867   0        1009362  19555    3407     | 48     3581959        25021537     -       
8      16     7      7/8    | 0.59      11.94     14.77     1.13      28.46        17.99     | 964867   0        1025041  3876     3407     | 56     3581959        25021537     -       
8      16     8      8/8    | 0.59      11.93     14.59     1.13      28.26        18.12     | 964867   0        1032324  0        0        | 64     3581959        25021537     -       
8      32     0      0/8    | 0.57      10.60     37.32     1.14      49.65        10.31     | 964867   0        0        1028917  3407     | 1      3852397        25021537     -       
8      32     1      1/8    | 0.57      10.49     37.30     1.15      49.54        10.33     | 964867   0        0        1028917  3407     | 8      3852397        25021537     -       
8      32     2      2/8    | 0.57      10.44     27.11     1.12      39.26        13.04     | 964867   0        500904   528013   3407     | 16     3852397        25021537     -       
8      32     3      3/8    | 0.57      10.47     20.96     1.11      33.13        15.45     | 964867   0        773616   255301   3407     | 24     3852397        25021537     -       
8      32     4      4/8    | 0.57      10.48     17.19     1.12      29.37        17.43     | 964867   0        913222   115695   3407     | 32     3852397        25021537     -       
8      32     5      5/8    | 0.58      10.43     15.22     1.13      27.39        18.69     | 964867   0        980116   48801    3407     | 40     3852397        25021537     -       
8      32     6      6/8    | 0.57      10.47     14.26     1.11      26.43        19.37     | 964867   0        1009362  19555    3407     | 48     3852397        25021537     -       
8      32     7      7/8    | 0.57      10.50     13.57     1.13      25.79        19.85     | 964867   0        1025041  3876     3407     | 56     3852397        25021537     -       
8      32     8      8/8    | 0.58      10.46     13.10     1.14      25.29        20.24     | 964867   0        1032324  0        0        | 64     3852397        25021537     -       
