# Matrix: vsp_bcsstk30_500sep_10in_1Kout
# Path: /home/stu1/Dataset/training_dataset/50k-200k-0.01-0.1/vsp_bcsstk30_500sep_10in_1Kout.mtx
# Category: 50k-200k-0.01-0.1
# Date: 2026-03-09 17:26:15
# Configs: 81 (9 tiles x 9 TC thresholds)
# Version: AdaSpGEMM_new
#
# Rows: 58348
# Cols: 58348
# NNZ(A): 4033156
# NNZ(C) estimate: 339135198
#
tile_m tile_n tc_frc tc     | step1_ms  step2_ms  step3_ms  malloc    total_ms     gflops    | n_tiny   n_sml    n_lrg    n_dns    n_ful    | th_lrg tiles_C        nnzC         error   
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
8      8      0      0/8    | 10.95     2158.70   2448.64   2.98      4621.31      0.15      | 15331999 0        0        1063     0        | 1      53202436       18175907     -       
8      8      1      1/8    | 11.01     2195.70   2450.79   3.02      4660.57      0.15      | 15331999 0        0        1063     0        | 8      53202436       18175907     -       
8      8      2      2/8    | 11.13     2195.08   2448.60   2.98      4657.84      0.15      | 15331999 0        1063     0        0        | 16     53202436       18175907     -       
8      8      3      3/8    | 10.93     2194.84   2448.44   3.00      4657.26      0.15      | 15331999 0        1063     0        0        | 24     53202436       18175907     -       
8      8      4      4/8    | 11.17     2196.61   2449.05   3.01      4659.88      0.15      | 15331999 0        1063     0        0        | 32     53202436       18175907     -       
8      8      5      5/8    | 11.00     2195.39   2447.57   2.96      4656.96      0.15      | 15331999 0        1063     0        0        | 40     53202436       18175907     -       
8      8      6      6/8    | 11.20     2158.37   2449.79   2.96      4622.36      0.15      | 15331999 0        1063     0        0        | 48     53202436       18175907     -       
8      8      7      7/8    | 10.94     2195.65   2448.05   2.97      4657.66      0.15      | 15331999 0        1063     0        0        | 56     53202436       18175907     -       
8      8      8      8/8    | 11.25     2196.53   2449.13   2.97      4659.92      0.15      | 15331999 0        1063     0        0        | 64     53202436       18175907     -       
8      16     0      0/8    | 19.18     2842.32   2853.12   3.00      5717.68      0.12      | 15331999 0        0        1063     0        | 1      53202436       18175907     -       
8      16     1      1/8    | 19.43     2841.54   2854.25   2.98      5718.23      0.12      | 15331999 0        0        1063     0        | 8      53202436       18175907     -       
8      16     2      2/8    | 19.64     2844.58   2853.80   3.01      5721.07      0.12      | 15331999 0        1063     0        0        | 16     53202436       18175907     -       
8      16     3      3/8    | 19.32     2842.90   2851.83   2.96      5717.03      0.12      | 15331999 0        1063     0        0        | 24     53202436       18175907     -       
8      16     4      4/8    | 19.46     2847.08   2852.72   3.06      5722.35      0.12      | 15331999 0        1063     0        0        | 32     53202436       18175907     -       
8      16     5      5/8    | 19.63     2847.59   2853.20   3.03      5723.49      0.12      | 15331999 0        1063     0        0        | 40     53202436       18175907     -       
8      16     6      6/8    | 19.40     2843.11   2856.74   6.25      5725.54      0.12      | 15331999 0        1063     0        0        | 48     53202436       18175907     -       
8      16     7      7/8    | 19.37     2842.95   2851.60   3.03      5716.99      0.12      | 15331999 0        1063     0        0        | 56     53202436       18175907     -       
8      16     8      8/8    | 19.64     2848.18   2850.86   3.02      5721.75      0.12      | 15331999 0        1063     0        0        | 64     53202436       18175907     -       
8      32     0      0/8    | 41.42     3218.99   2842.50   3.02      6105.97      0.11      | 15331999 0        0        1063     0        | 1      53202436       18175907     -       
8      32     1      1/8    | 40.97     3218.88   2842.57   2.97      6105.43      0.11      | 15331999 0        0        1063     0        | 8      53202436       18175907     -       
8      32     2      2/8    | 40.24     3221.53   2841.31   3.00      6106.12      0.11      | 15331999 0        1063     0        0        | 16     53202436       18175907     -       
8      32     3      3/8    | 40.15     3221.17   2841.46   3.01      6105.83      0.11      | 15331999 0        1063     0        0        | 24     53202436       18175907     -       
8      32     4      4/8    | 40.69     3219.96   2840.39   3.05      6104.14      0.11      | 15331999 0        1063     0        0        | 32     53202436       18175907     -       
8      32     5      5/8    | 40.79     3219.53   2842.54   3.02      6105.91      0.11      | 15331999 0        1063     0        0        | 40     53202436       18175907     -       
8      32     6      6/8    | 40.95     3220.38   2842.14   3.04      6106.55      0.11      | 15331999 0        1063     0        0        | 48     53202436       18175907     -       
8      32     7      7/8    | 40.87     3220.00   2840.71   2.98      6104.58      0.11      | 15331999 0        1063     0        0        | 56     53202436       18175907     -       
8      32     8      8/8    | 40.26     3219.51   2838.95   2.96      6101.71      0.11      | 15331999 0        1063     0        0        | 64     53202436       18175907     -       
16     8      0      0/8    | 9.59      1507.57   2742.92   1.89      4262.02      0.16      | 9859295  0        0        0        0        | 1      13300609       18175907     -       
16     8      1      1/8    | 9.62      1507.00   2743.36   1.79      4261.79      0.16      | 9859295  0        0        0        0        | 32     13300609       18175907     -       
16     8      2      2/8    | 9.57      1507.97   2740.28   1.87      4259.72      0.16      | 9859295  0        0        0        0        | 64     13300609       18175907     -       
16     8      3      3/8    | 9.69      1506.56   2743.14   1.87      4261.30      0.16      | 9859295  0        0        0        0        | 96     13300609       18175907     -       
16     8      4      4/8    | 9.65      1506.35   2740.18   1.83      4258.04      0.16      | 9859295  0        0        0        0        | 128    13300609       18175907     -       
16     8      5      5/8    | 9.62      1506.99   2742.84   1.86      4261.34      0.16      | 9859295  0        0        0        0        | 160    13300609       18175907     -       
16     8      6      6/8    | 9.55      1506.72   2741.94   1.82      4260.07      0.16      | 9859295  0        0        0        0        | 192    13300609       18175907     -       
16     8      7      7/8    | 9.65      1497.65   2742.53   1.78      4251.65      0.16      | 9859295  0        0        0        0        | 224    13300609       18175907     -       
16     8      8      8/8    | 9.76      1498.13   2742.29   1.86      4252.09      0.16      | 9859295  0        0        0        0        | 256    13300609       18175907     -       
16     16     0      0/8    | 19.33     1641.36   2782.05   1.84      4444.61      0.15      | 9859295  0        0        0        0        | 1      13300609       18175907     -       
16     16     1      1/8    | 19.51     1631.26   2781.39   1.81      4434.01      0.15      | 9859295  0        0        0        0        | 32     13300609       18175907     -       
16     16     2      2/8    | 19.66     1639.85   2783.61   1.85      4445.02      0.15      | 9859295  0        0        0        0        | 64     13300609       18175907     -       
16     16     3      3/8    | 19.53     1640.12   2783.12   1.79      4444.59      0.15      | 9859295  0        0        0        0        | 96     13300609       18175907     -       
16     16     4      4/8    | 19.49     1640.23   2781.34   1.86      4442.95      0.15      | 9859295  0        0        0        0        | 128    13300609       18175907     -       
16     16     5      5/8    | 19.48     1639.73   2781.47   1.84      4442.56      0.15      | 9859295  0        0        0        0        | 160    13300609       18175907     -       
16     16     6      6/8    | 19.28     1640.00   2782.18   1.82      4443.31      0.15      | 9859295  0        0        0        0        | 192    13300609       18175907     -       
16     16     7      7/8    | 19.39     1639.44   2781.85   1.83      4442.53      0.15      | 9859295  0        0        0        0        | 224    13300609       18175907     -       
16     16     8      8/8    | 19.50     1640.60   2781.58   1.91      4443.63      0.15      | 9859295  0        0        0        0        | 256    13300609       18175907     -       
16     32     0      0/8    | 38.14     1824.13   2776.20   2.02      4640.51      0.15      | 9859295  0        0        0        0        | 1      13300609       18175907     -       
16     32     1      1/8    | 38.12     1823.87   2774.62   2.00      4638.64      0.15      | 9859295  0        0        0        0        | 32     13300609       18175907     -       
16     32     2      2/8    | 38.08     1814.89   2775.29   1.99      4630.30      0.15      | 9859295  0        0        0        0        | 64     13300609       18175907     -       
16     32     3      3/8    | 38.12     1815.50   2773.91   1.98      4629.55      0.15      | 9859295  0        0        0        0        | 96     13300609       18175907     -       
16     32     4      4/8    | 38.14     1814.26   2772.29   2.00      4626.73      0.15      | 9859295  0        0        0        0        | 128    13300609       18175907     -       
16     32     5      5/8    | 37.98     1823.81   2775.97   1.98      4639.77      0.15      | 9859295  0        0        0        0        | 160    13300609       18175907     -       
16     32     6      6/8    | 38.19     1814.72   2774.63   1.95      4629.53      0.15      | 9859295  0        0        0        0        | 192    13300609       18175907     -       
16     32     7      7/8    | 38.19     1814.96   2774.64   1.99      4629.84      0.15      | 9859295  0        0        0        0        | 224    13300609       18175907     -       
16     32     8      8/8    | 38.44     1814.89   2774.89   2.01      4630.27      0.15      | 9859295  0        0        0        0        | 256    13300609       18175907     -       
32     8      0      0/8    | 12.22     859.13    1675.33   1.54      2548.27      0.27      | 3310450  0        0        0        0        | 1      3326976        18175907     -       
32     8      1      1/8    | 12.24     859.46    1674.60   1.56      2547.90      0.27      | 3310450  0        0        0        0        | 128    3326976        18175907     -       
32     8      2      2/8    | 12.22     859.11    1675.50   1.54      2548.41      0.27      | 3310450  0        0        0        0        | 256    3326976        18175907     -       
32     8      3      3/8    | 12.23     859.99    1674.88   1.60      2548.74      0.27      | 3310450  0        0        0        0        | 384    3326976        18175907     -       
32     8      4      4/8    | 12.24     859.21    1674.46   1.55      2547.51      0.27      | 3310450  0        0        0        0        | 512    3326976        18175907     -       
32     8      5      5/8    | 12.24     859.48    1675.10   1.62      2548.47      0.27      | 3310450  0        0        0        0        | 640    3326976        18175907     -       
32     8      6      6/8    | 12.23     859.15    1675.27   1.58      2548.28      0.27      | 3310450  0        0        0        0        | 768    3326976        18175907     -       
32     8      7      7/8    | 12.22     859.36    1674.17   1.54      2547.34      0.27      | 3310450  0        0        0        0        | 896    3326976        18175907     -       
32     8      8      8/8    | 12.23     859.14    1675.03   1.56      2548.01      0.27      | 3310450  0        0        0        0        | 1024   3326976        18175907     -       
32     16     0      0/8    | 22.20     941.30    1657.46   1.58      2622.59      0.26      | 3310450  0        0        0        0        | 1      3326976        18175907     -       
32     16     1      1/8    | 22.10     942.07    1657.20   1.55      2622.96      0.26      | 3310450  0        0        0        0        | 128    3326976        18175907     -       
32     16     2      2/8    | 22.12     941.88    1656.71   1.57      2622.32      0.26      | 3310450  0        0        0        0        | 256    3326976        18175907     -       
32     16     3      3/8    | 22.10     941.46    1656.71   1.56      2621.87      0.26      | 3310450  0        0        0        0        | 384    3326976        18175907     -       
32     16     4      4/8    | 22.11     941.32    1656.99   1.60      2622.05      0.26      | 3310450  0        0        0        0        | 512    3326976        18175907     -       
32     16     5      5/8    | 22.15     941.27    1656.66   1.54      2621.66      0.26      | 3310450  0        0        0        0        | 640    3326976        18175907     -       
32     16     6      6/8    | 22.13     940.88    1656.61   1.56      2621.21      0.26      | 3310450  0        0        0        0        | 768    3326976        18175907     -       
32     16     7      7/8    | 22.11     940.65    1657.53   1.54      2621.86      0.26      | 3310450  0        0        0        0        | 896    3326976        18175907     -       
32     16     8      8/8    | 22.12     941.05    1656.63   1.56      2621.39      0.26      | 3310450  0        0        0        0        | 1024   3326976        18175907     -       
32     32     0      0/8    | -         -         -         -         -            -         | -        -        -        -        -        | -      -              -            -       
32     32     1      1/8    | -         -         -         -         -            -         | -        -        -        -        -        | -      -              -            -       
32     32     2      2/8    | -         -         -         -         -            -         | -        -        -        -        -        | -      -              -            -       
32     32     3      3/8    | -         -         -         -         -            -         | -        -        -        -        -        | -      -              -            -       
32     32     4      4/8    | -         -         -         -         -            -         | -        -        -        -        -        | -      -              -            -       
32     32     5      5/8    | -         -         -         -         -            -         | -        -        -        -        -        | -      -              -            -       
32     32     6      6/8    | -         -         -         -         -            -         | -        -        -        -        -        | -      -              -            -       
32     32     7      7/8    | -         -         -         -         -            -         | -        -        -        -        -        | -      -              -            -       
32     32     8      8/8    | -         -         -         -         -            -         | -        -        -        -        -        | -      -              -            -       
