# Matrix: x104
# Path: /home/stu1/Dataset/training_dataset/50k-200k-0.01-0.1/x104.mtx
# Category: 50k-200k-0.01-0.1
# Date: 2026-03-09 17:30:38
# Configs: 81 (9 tiles x 9 TC thresholds)
# Version: AdaSpGEMM_new
#
# Rows: 108384
# Cols: 108384
# NNZ(A): 10167624
# NNZ(C) estimate: 1046272464
#
tile_m tile_n tc_frc tc     | step1_ms  step2_ms  step3_ms  malloc    total_ms     gflops    | n_tiny   n_sml    n_lrg    n_dns    n_ful    | th_lrg tiles_C        nnzC         error   
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
8      8      0      0/8    | 0.36      4.71      10.60     1.42      17.12        122.24    | 98918    0        0        815959   208063   | 1      1636958        38701728     -       
8      8      1      1/8    | 0.30      4.83      10.58     1.22      16.96        123.41    | 98918    0        0        815959   208063   | 8      1636958        38701728     -       
8      8      2      2/8    | 0.35      4.84      10.68     1.33      17.23        121.48    | 98918    0        241314   574645   208063   | 16     1636958        38701728     -       
8      8      3      3/8    | 0.29      4.56      10.82     1.18      16.86        124.14    | 98918    0        326530   489429   208063   | 24     1636958        38701728     -       
8      8      4      4/8    | 0.28      4.55      13.08     1.17      19.10        109.55    | 98918    0        571857   244102   208063   | 32     1636958        38701728     -       
8      8      5      5/8    | 0.29      4.53      13.56     1.16      19.56        106.98    | 98918    0        646245   169714   208063   | 40     1636958        38701728     -       
8      8      6      6/8    | 0.29      4.71      15.88     1.18      22.09        94.75     | 98918    0        787891   28068    208063   | 48     1636958        38701728     -       
8      8      7      7/8    | 0.29      4.60      16.17     1.17      22.24        94.08     | 98918    0        810785   5174     208063   | 56     1636958        38701728     -       
8      8      8      8/8    | 0.28      4.62      23.39     1.15      29.46        71.02     | 98918    0        1024022  0        0        | 64     1636958        38701728     -       
8      16     0      0/8    | 0.36      5.34      11.10     1.31      18.13        115.41    | 98918    0        0        815959   208063   | 1      1955282        38701728     -       
8      16     1      1/8    | 0.35      5.24      11.08     1.24      17.93        116.71    | 98918    0        0        815959   208063   | 8      1955282        38701728     -       
8      16     2      2/8    | 0.26      4.88      10.86     1.17      17.18        121.80    | 98918    0        241314   574645   208063   | 16     1955282        38701728     -       
8      16     3      3/8    | 0.33      5.08      11.06     1.25      17.74        117.94    | 98918    0        326530   489429   208063   | 24     1955282        38701728     -       
8      16     4      4/8    | 0.27      5.00      13.35     1.18      19.82        105.60    | 98918    0        571857   244102   208063   | 32     1955282        38701728     -       
8      16     5      5/8    | 0.34      4.95      14.04     1.32      20.66        101.28    | 98918    0        646245   169714   208063   | 40     1955282        38701728     -       
8      16     6      6/8    | 0.26      4.88      16.11     1.16      22.43        93.28     | 98918    0        787891   28068    208063   | 48     1955282        38701728     -       
8      16     7      7/8    | 0.26      4.92      16.40     1.17      22.77        91.92     | 98918    0        810785   5174     208063   | 56     1955282        38701728     -       
8      16     8      8/8    | 0.27      5.01      23.24     1.16      29.70        70.46     | 98918    0        1024022  0        0        | 64     1955282        38701728     -       
8      32     0      0/8    | 0.27      6.04      16.71     1.16      24.19        86.51     | 98918    0        0        815959   208063   | 1      2403546        38701728     -       
8      32     1      1/8    | 0.32      6.33      16.73     1.21      24.61        85.04     | 98918    0        0        815959   208063   | 8      2403546        38701728     -       
8      32     2      2/8    | 0.32      6.06      15.73     1.21      23.33        89.69     | 98918    0        241314   574645   208063   | 16     2403546        38701728     -       
8      32     3      3/8    | 0.27      5.85      15.59     1.14      22.87        91.51     | 98918    0        326530   489429   208063   | 24     2403546        38701728     -       
