# Matrix: mac_econ_fwd500
# Path: /home/stu1/Dataset/TileSpGEMMDataset/mac_econ_fwd500.mtx
# Category: TileSpGEMMDataset
# Date: 2026-04-07 18:39:45
# Configs: 81 (9 tiles x 9 TC thresholds)
# Version: AdaSpGEMM_new
# Mode: AAT (A * A^T)
#
# Rows: 206500
# Cols: 206500
# NNZ(A): 1273389
# NNZ(C) estimate: 15552377
#
tile_m tile_n tc_frc tc     | step1_ms  step2_ms  step3_ms  malloc    total_ms     gflops    | n_tiny   n_sml    n_lrg    n_dns    n_ful    | th_lrg tiles_C        nnzC         error   
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
8      8      0      0/8    | 1.09      9.92      6.95      1.02      19.01        1.64      | 1962234  0        0        276775   0        | 1      3689983        9311996      -       
8      8      1      1/8    | 1.02      9.95      6.96      1.12      19.08        1.63      | 1962234  0        0        276775   0        | 8      3689983        9311996      -       
8      8      2      2/8    | 0.93      9.88      5.75      1.04      17.63        1.76      | 1962234  0        195042   81733    0        | 16     3689983        9311996      -       
8      8      3      3/8    | 0.95      9.81      5.33      1.02      17.13        1.82      | 1962234  0        244839   31936    0        | 24     3689983        9311996      -       
8      8      4      4/8    | 1.28      10.10     5.43      1.16      18.00        1.73      | 1962234  0        266210   10565    0        | 32     3689983        9311996      -       
8      8      5      5/8    | 0.94      10.09     5.05      1.10      17.19        1.81      | 1962234  0        271960   4815     0        | 40     3689983        9311996      -       
8      8      6      6/8    | 0.94      10.06     5.01      1.04      17.07        1.82      | 1962234  0        274214   2561     0        | 48     3689983        9311996      -       
8      8      7      7/8    | 1.12      9.99      5.04      1.07      17.24        1.80      | 1962234  0        276775   0        0        | 56     3689983        9311996      -       
8      8      8      8/8    | 0.96      9.63      5.01      1.02      16.64        1.87      | 1962234  0        276775   0        0        | 64     3689983        9311996      -       
8      16     0      0/8    | 1.00      12.11     8.05      1.05      22.25        1.40      | 1962234  0        0        276775   0        | 1      4454195        9311996      -       
8      16     1      1/8    | 0.97      12.01     8.05      1.10      22.14        1.40      | 1962234  0        0        276775   0        | 8      4454195        9311996      -       
8      16     2      2/8    | 0.96      11.87     6.28      1.05      20.19        1.54      | 1962234  0        195042   81733    0        | 16     4454195        9311996      -       
8      16     3      3/8    | 1.00      11.63     5.68      1.04      19.37        1.61      | 1962234  0        244839   31936    0        | 24     4454195        9311996      -       
8      16     4      4/8    | 1.00      12.09     5.66      1.07      19.84        1.57      | 1962234  0        266210   10565    0        | 32     4454195        9311996      -       
8      16     5      5/8    | 0.98      12.21     5.29      1.11      19.61        1.59      | 1962234  0        271960   4815     0        | 40     4454195        9311996      -       
8      16     6      6/8    | 0.95      12.19     5.22      1.05      19.43        1.60      | 1962234  0        274214   2561     0        | 48     4454195        9311996      -       
8      16     7      7/8    | 0.96      12.28     5.21      1.06      19.52        1.59      | 1962234  0        276775   0        0        | 56     4454195        9311996      -       
8      16     8      8/8    | 0.99      12.14     5.22      1.09      19.46        1.60      | 1962234  0        276775   0        0        | 64     4454195        9311996      -       
8      32     0      0/8    | 1.10      13.87     10.24     1.11      26.33        1.18      | 1962234  0        0        276775   0        | 1      5333489        9311996      -       
8      32     1      1/8    | 1.10      14.16     10.24     1.07      26.61        1.17      | 1962234  0        0        276775   0        | 8      5333489        9311996      -       
8      32     2      2/8    | 1.08      14.58     6.95      1.09      23.72        1.31      | 1962234  0        195042   81733    0        | 16     5333489        9311996      -       
8      32     3      3/8    | 1.08      13.93     5.87      1.11      22.02        1.41      | 1962234  0        244839   31936    0        | 24     5333489        9311996      -       
8      32     4      4/8    | 1.26      14.00     5.42      1.21      21.91        1.42      | 1962234  0        266210   10565    0        | 32     5333489        9311996      -       
8      32     5      5/8    | 1.08      14.76     5.18      1.17      22.22        1.40      | 1962234  0        271960   4815     0        | 40     5333489        9311996      -       
8      32     6      6/8    | 1.05      14.49     5.03      1.07      21.66        1.44      | 1962234  0        274214   2561     0        | 48     5333489        9311996      -       
8      32     7      7/8    | 1.08      14.68     4.95      1.17      21.90        1.42      | 1962234  0        276775   0        0        | 56     5333489        9311996      -       
8      32     8      8/8    | 1.05      14.63     4.95      1.07      21.72        1.43      | 1962234  0        276775   0        0        | 64     5333489        9311996      -       
16     8      0      0/8    | 0.27      4.29      5.13      0.98      10.69        2.91      | 956273   0        0        56940    0        | 1      1516643        9311996      -       
16     8      1      1/8    | 0.27      7.03      5.14      1.01      13.46        2.31      | 956273   0        0        56940    0        | 32     1516643        9311996      -       
16     8      2      2/8    | 0.26      4.08      4.25      0.99      9.59         3.24      | 956273   0        42251    14689    0        | 64     1516643        9311996      -       
