# Matrix: mc2depi
# Path: /home/stu1/Dataset/TileSpGEMMDataset/mc2depi.mtx
# Category: TileSpGEMMDataset
# Date: 2026-04-07 18:42:35
# Configs: 81 (9 tiles x 9 TC thresholds)
# Version: AdaSpGEMM_new
# Mode: AAT (A * A^T)
#
# Rows: 525825
# Cols: 525825
# NNZ(A): 2100225
# NNZ(C) estimate: 8391681
#
tile_m tile_n tc_frc tc     | step1_ms  step2_ms  step3_ms  malloc    total_ms     gflops    | n_tiny   n_sml    n_lrg    n_dns    n_ful    | th_lrg tiles_C        nnzC         error   
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
8      8      0      0/8    | 0.76      3.17      2.03      0.98      6.96         2.41      | 652133   0        0        328080   0        | 1      1108121        6817281      -       
8      8      1      1/8    | 0.91      2.58      2.03      1.00      6.55         2.56      | 652133   0        0        328080   0        | 8      1108121        6817281      -       
8      8      2      2/8    | 0.75      3.21      1.71      1.03      6.71         2.50      | 652133   0        262344   65736    0        | 16     1108121        6817281      -       
8      8      3      3/8    | 0.73      3.14      1.31      0.96      6.16         2.72      | 652133   0        328069   11       0        | 24     1108121        6817281      -       
8      8      4      4/8    | 0.75      3.17      1.42      0.98      6.33         2.65      | 652133   0        328076   4        0        | 32     1108121        6817281      -       
8      8      5      5/8    | 0.74      3.13      1.31      0.97      6.16         2.72      | 652133   0        328078   2        0        | 40     1108121        6817281      -       
8      8      6      6/8    | 0.76      3.21      1.31      1.08      6.38         2.63      | 652133   0        328080   0        0        | 48     1108121        6817281      -       
8      8      7      7/8    | 0.75      3.05      1.31      0.99      6.11         2.75      | 652133   0        328080   0        0        | 56     1108121        6817281      -       
8      8      8      8/8    | 0.89      3.01      1.31      0.98      6.21         2.70      | 652133   0        328080   0        0        | 64     1108121        6817281      -       
8      16     0      0/8    | 1.03      4.56      2.37      0.98      8.96         1.87      | 652133   0        0        328080   0        | 1      1623265        6817281      -       
8      16     1      1/8    | 1.07      4.41      2.37      1.00      8.86         1.89      | 652133   0        0        328080   0        | 8      1623265        6817281      -       
8      16     2      2/8    | 1.25      4.49      1.89      1.13      8.79         1.91      | 652133   0        262344   65736    0        | 16     1623265        6817281      -       
8      16     3      3/8    | 1.21      4.61      1.37      0.99      8.19         2.05      | 652133   0        328069   11       0        | 24     1623265        6817281      -       
8      16     4      4/8    | 1.07      4.48      1.48      0.99      8.03         2.09      | 652133   0        328076   4        0        | 32     1623265        6817281      -       
8      16     5      5/8    | 1.04      4.48      1.36      0.96      7.86         2.13      | 652133   0        328078   2        0        | 40     1623265        6817281      -       
8      16     6      6/8    | 1.08      4.57      1.37      1.06      8.09         2.07      | 652133   0        328080   0        0        | 48     1623265        6817281      -       
8      16     7      7/8    | 1.36      4.31      1.39      1.15      8.22         2.04      | 652133   0        328080   0        0        | 56     1623265        6817281      -       
8      16     8      8/8    | 1.15      4.55      1.37      1.07      8.18         2.05      | 652133   0        328080   0        0        | 64     1623265        6817281      -       
8      32     0      0/8    | 1.06      6.83      3.17      0.99      12.07        1.39      | 652133   0        0        328080   0        | 1      2578443        6817281      -       
8      32     1      1/8    | 1.09      6.97      3.18      1.02      12.28        1.37      | 652133   0        0        328080   0        | 8      2578443        6817281      -       
8      32     2      2/8    | 1.19      7.15      2.46      0.94      11.76        1.43      | 652133   0        262344   65736    0        | 16     2578443        6817281      -       
8      32     3      3/8    | 1.03      6.78      1.51      0.93      10.26        1.64      | 652133   0        328069   11       0        | 24     2578443        6817281      -       
8      32     4      4/8    | 1.04      7.04      1.50      0.96      10.56        1.59      | 652133   0        328076   4        0        | 32     2578443        6817281      -       
8      32     5      5/8    | 1.10      7.06      1.50      0.97      10.65        1.58      | 652133   0        328078   2        0        | 40     2578443        6817281      -       
8      32     6      6/8    | 1.08      7.06      1.49      0.98      10.63        1.58      | 652133   0        328080   0        0        | 48     2578443        6817281      -       
8      32     7      7/8    | 1.18      6.77      1.49      0.95      10.41        1.61      | 652133   0        328080   0        0        | 56     2578443        6817281      -       
8      32     8      8/8    | 1.02      7.05      1.49      0.94      10.52        1.59      | 652133   0        328080   0        0        | 64     2578443        6817281      -       
16     8      0      0/8    | 0.59      1.48      1.71      0.92      4.71         3.57      | 457729   0        0        32892    0        | 1      498211         6817281      -       
16     8      1      1/8    | 0.77      1.57      1.73      0.97      5.06         3.32      | 457729   0        0        32892    0        | 32     498211         6817281      -       
16     8      2      2/8    | 0.80      1.53      1.31      0.99      4.65         3.61      | 457729   0        32880    12       0        | 64     498211         6817281      -       
16     8      3      3/8    | 0.64      1.48      1.29      1.00      4.44         3.78      | 457729   0        32890    2        0        | 96     498211         6817281      -       
16     8      4      4/8    | 0.79      1.55      1.31      1.00      4.67         3.59      | 457729   0        32892    0        0        | 128    498211         6817281      -       
16     8      5      5/8    | 0.60      1.48      1.29      0.94      4.32         3.88      | 457729   0        32892    0        0        | 160    498211         6817281      -       
16     8      6      6/8    | 0.61      1.47      1.29      0.98      4.37         3.84      | 457729   0        32892    0        0        | 192    498211         6817281      -       
16     8      7      7/8    | 0.58      1.49      1.28      0.92      4.29         3.91      | 457729   0        32892    0        0        | 224    498211         6817281      -       
16     8      8      8/8    | 0.75      1.47      1.29      1.00      4.53         3.70      | 457729   0        32892    0        0        | 256    498211         6817281      -       
16     16     0      0/8    | 0.95      2.84      1.23      1.95      7.00         2.40      | 457729   0        0        32892    0        | 1      555529         6817281      -       
16     16     1      1/8    | 0.57      1.62      1.22      0.90      4.33         3.88      | 457729   0        0        32892    0        | 32     555529         6817281      -       
16     16     2      2/8    | 0.56      1.60      0.72      0.86      3.75         4.47      | 457729   0        32880    12       0        | 64     555529         6817281      -       
16     16     3      3/8    | 0.69      1.61      0.70      0.86      3.87         4.33      | 457729   0        32890    2        0        | 96     555529         6817281      -       
16     16     4      4/8    | 0.60      1.62      0.70      0.95      3.89         4.32      | 457729   0        32892    0        0        | 128    555529         6817281      -       
16     16     5      5/8    | 0.61      1.65      0.70      0.98      3.97         4.23      | 457729   0        32892    0        0        | 160    555529         6817281      -       
16     16     6      6/8    | 0.57      1.69      0.70      0.86      3.83         4.38      | 457729   0        32892    0        0        | 192    555529         6817281      -       
16     16     7      7/8    | 0.55      1.67      0.70      0.86      3.80         4.42      | 457729   0        32892    0        0        | 224    555529         6817281      -       
16     16     8      8/8    | 0.73      1.71      0.70      0.85      4.00         4.20      | 457729   0        32892    0        0        | 256    555529         6817281      -       
16     32     0      0/8    | 0.71      2.43      1.92      0.95      6.02         2.79      | 457729   0        0        32892    0        | 1      811739         6817281      -       
16     32     1      1/8    | 0.66      2.27      1.93      0.88      5.75         2.92      | 457729   0        0        32892    0        | 32     811739         6817281      -       
16     32     2      2/8    | 0.69      2.43      0.73      0.95      4.82         3.48      | 457729   0        32880    12       0        | 64     811739         6817281      -       
