# Matrix: rma10
# Path: /home/stu1/Dataset/TileSpGEMMDataset/rma10.mtx
# Category: TileSpGEMMDataset
# Date: 2026-04-07 18:44:52
# Configs: 81 (9 tiles x 9 TC thresholds)
# Version: AdaSpGEMM_new
# Mode: AAT (A * A^T)
#
# Rows: 46835
# Cols: 46835
# NNZ(A): 2374001
# NNZ(C) estimate: 156480259
#
tile_m tile_n tc_frc tc     | step1_ms  step2_ms  step3_ms  malloc    total_ms     gflops    | n_tiny   n_sml    n_lrg    n_dns    n_ful    | th_lrg tiles_C        nnzC         error   
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
8      8      0      0/8    | 0.41      1.32      2.51      1.70      5.96         52.55     | 34606    0        0        171949   28006    | 1      373235         7900917      -       
8      8      1      1/8    | 0.15      1.31      2.48      0.88      4.83         64.73     | 34606    0        0        171949   28006    | 8      373235         7900917      -       
8      8      2      2/8    | 0.14      1.26      2.47      0.88      4.76         65.69     | 34606    0        29128    142821   28006    | 16     373235         7900917      -       
8      8      3      3/8    | 0.14      1.28      2.45      0.86      4.73         66.14     | 34606    0        56685    115264   28006    | 24     373235         7900917      -       
8      8      4      4/8    | 0.14      1.27      2.54      0.89      4.86         64.42     | 34606    0        84001    87948    28006    | 32     373235         7900917      -       
8      8      5      5/8    | 0.25      1.29      2.57      1.02      5.15         60.77     | 34606    0        111504   60445    28006    | 40     373235         7900917      -       
8      8      6      6/8    | 0.14      1.25      2.70      0.87      4.97         62.96     | 34606    0        140781   31168    28006    | 48     373235         7900917      -       
8      8      7      7/8    | 0.14      1.31      2.88      0.85      5.21         60.13     | 34606    0        159011   12938    28006    | 56     373235         7900917      -       
8      8      8      8/8    | 0.15      1.32      3.75      0.88      6.11         51.25     | 34606    0        199955   0        0        | 64     373235         7900917      -       
8      16     0      0/8    | 0.14      1.36      2.39      0.87      4.78         65.50     | 34606    0        0        171949   28006    | 1      435513         7900917      -       
8      16     1      1/8    | 0.14      1.32      2.40      0.83      4.70         66.53     | 34606    0        0        171949   28006    | 8      435513         7900917      -       
8      16     2      2/8    | 0.13      1.32      2.35      0.87      4.68         66.86     | 34606    0        29128    142821   28006    | 16     435513         7900917      -       
8      16     3      3/8    | 0.13      1.41      2.31      0.86      4.72         66.26     | 34606    0        56685    115264   28006    | 24     435513         7900917      -       
8      16     4      4/8    | 0.13      1.34      2.39      0.84      4.72         66.35     | 34606    0        84001    87948    28006    | 32     435513         7900917      -       
8      16     5      5/8    | 0.12      1.35      2.38      0.85      4.72         66.29     | 34606    0        111504   60445    28006    | 40     435513         7900917      -       
8      16     6      6/8    | 0.12      1.35      2.54      0.84      4.86         64.34     | 34606    0        140781   31168    28006    | 48     435513         7900917      -       
8      16     7      7/8    | 0.14      1.34      2.73      0.88      5.09         61.45     | 34606    0        159011   12938    28006    | 56     435513         7900917      -       
8      16     8      8/8    | 0.14      1.37      3.71      0.86      6.11         51.20     | 34606    0        199955   0        0        | 64     435513         7900917      -       
8      32     0      0/8    | 0.14      1.56      3.86      0.87      6.45         48.54     | 34606    0        0        171949   28006    | 1      536839         7900917      -       
8      32     1      1/8    | 0.14      1.56      3.87      0.85      6.44         48.62     | 34606    0        0        171949   28006    | 8      536839         7900917      -       
8      32     2      2/8    | 0.13      1.62      3.71      0.85      6.32         49.53     | 34606    0        29128    142821   28006    | 16     536839         7900917      -       
8      32     3      3/8    | 0.12      1.57      3.58      0.86      6.15         50.91     | 34606    0        56685    115264   28006    | 24     536839         7900917      -       
8      32     4      4/8    | 0.14      1.64      3.46      0.86      6.12         51.12     | 34606    0        84001    87948    28006    | 32     536839         7900917      -       
8      32     5      5/8    | 0.13      1.58      3.39      0.87      5.99         52.25     | 34606    0        111504   60445    28006    | 40     536839         7900917      -       
8      32     6      6/8    | 0.13      1.62      3.38      0.84      5.99         52.23     | 34606    0        140781   31168    28006    | 48     536839         7900917      -       
8      32     7      7/8    | 0.15      1.61      3.36      0.84      5.97         52.42     | 34606    0        159011   12938    28006    | 56     536839         7900917      -       
8      32     8      8/8    | 0.14      1.65      3.70      0.89      6.38         49.01     | 34606    0        199955   0        0        | 64     536839         7900917      -       
16     8      0      0/8    | 0.11      0.68      2.29      0.56      3.65         85.70     | 22443    0        0        60281    1072     | 1      123934         7900917      -       
16     8      1      1/8    | 0.13      0.69      2.29      0.57      3.69         84.91     | 22443    0        0        60281    1072     | 32     123934         7900917      -       
16     8      2      2/8    | 0.12      0.69      2.29      0.56      3.67         85.18     | 22443    0        14337    45944    1072     | 64     123934         7900917      -       
