Matrix Name,FlexSpGEMM_Numeric_Stage,FlexSpGEMM_Symbolic_Stage,FlexSpGEMM_Malloc,TileSpGEMM_Numeric_Stage,TileSpGEMM_Symbolic_Stage,TileSpGEMM_Malloc
Goodwin_095,2.650,1.110,0.850,3.420,0.890,0.690
nemeth12,0.120,0.260,0.290,0.590,0.270,0.250
rma10,2.040,0.840,0.630,3.480,0.710,0.530
af_shell10,19.340,6.640,2.210,33.690,6.420,1.940
heart3,1.760,1.000,0.400,4.680,0.760,0.320
webbase-1M,4.410,14.690,2.010,3.470,15.910,1.360
hangGlider_4,6.460,1.110,1.990,10.840,3.120,2.540
s3rmq4m1,0.120,0.270,0.210,0.720,0.250,0.230
trans5,370.180,40.160,4.220,345.790,142.430,4.970
pkustk12,58.970,20.170,4.590,59.400,16.550,4.240
gupta3,210.260,42.520,3.130,389.570,27.590,2.620
TSOPF_FS_b300_c2,107.270,34.150,6.710,492.280,30.840,6.190
