Matrix Name,Dense Memory Cost,FlexSpGEMM Memory Cost,TileSpGEMM Memory Cost,CSR Memory Cost
circuit_1,5.44,0.44,0.44,0.42
hangGlider_3,25.29,1.50,1.50,1.10
piston_E,1.59,1.25,0.87,1.11
c-43,22.20,1.75,1.75,1.46
hangGlider_4,38.37,2.36,2.36,1.77
hangGlider_5,42.30,2.52,2.52,1.84
mult_dcop_01,531.07,14.81,14.81,2.31
mult_dcop_02,531.07,14.81,14.81,2.31
mult_dcop_03,530.84,14.81,14.81,2.31
lowThrust_5,52.71,3.18,3.18,2.33
g3rmt3m3,4.20,2.66,1.92,2.40
lowThrust_9,60.47,3.57,3.57,2.58
a5esindl,103.76,4.97,4.97,3.15
cegb2802,4.14,3.77,2.51,3.18
s3rmq4m1,4.94,3.79,2.57,3.24
cegb2919,6.09,3.93,2.95,3.69
Kuu,10.05,3.20,3.20,3.92
a2nnsnsl,142.81,6.81,6.81,4.28
a0nsdsil,142.81,6.88,6.88,4.37
ted_A,8.80,3.94,3.89,4.90
ted_A_unscaled,8.80,3.94,3.89,4.90
nemeth12,6.65,6.66,4.05,5.15
qc2534,5.52,7.29,4.11,5.31
nemeth13,10.38,7.10,4.78,5.47
nemeth14,8.29,7.17,4.46,5.71
rajat18,304.80,12.08,12.08,5.91
ted_AB,12.35,4.87,4.82,6.02
ted_AB_unscaled,12.35,4.87,4.82,6.02
nemeth15,11.59,7.75,5.43,6.21
nemeth16,11.59,8.20,5.88,6.75
nemeth17,11.59,8.61,6.29,7.24
rajat20,399.70,15.54,15.54,7.26
rajat25,406.67,15.73,15.73,7.28
rajat28,406.67,15.73,15.73,7.28
rajat16,418.34,16.34,16.34,7.70
rajat17,418.34,16.34,16.34,7.70
heart3,10.70,9.47,6.11,7.82
nemeth18,11.59,9.24,6.91,7.99
nemeth01,11.59,9.52,7.20,8.33
bundle1,15.16,10.31,7.03,8.86
dc1,348.77,15.84,15.84,9.22
dc2,348.77,15.84,15.84,9.22
dc3,348.77,15.84,15.84,9.22
trans5,348.77,15.84,15.84,9.22
nemeth19,11.59,15.04,8.09,9.40
tube1,25.92,10.43,8.41,10.35
crplat2,20.54,11.19,8.81,11.07
nemeth20,14.02,16.56,9.61,11.16
scircuit,834.26,29.53,29.53,11.63
olafu,21.91,11.33,9.32,11.68
rim,40.80,10.33,9.83,11.70
bcsstk36,30.67,13.79,10.66,13.17
mac_econ_fwd500,591.88,41.01,41.01,15.36
raefsky3,17.83,25.67,13.27,17.12
qa8fk,189.21,20.46,20.46,19.26
qa8fm,189.21,20.46,20.46,19.26
fem_filter,603.51,31.25,31.25,20.09
bbmat,57.79,18.42,16.80,20.42
Goodwin_071,74.40,17.48,17.48,20.79
imagesensor,572.41,32.04,32.04,22.12
conf5_4-8x8-05,188.00,22.88,22.88,22.13
opt1,44.94,21.89,17.80,22.15
trdheim,32.61,26.33,17.51,22.23
bcsstk30,59.55,22.26,19.17,23.50
mc2depi,447.91,40.83,40.83,26.04
rma10,78.00,25.50,22.52,27.35
pkustk07,244.71,29.69,29.04,27.75
tsyl201,111.66,26.25,26.25,28.17
net125,777.56,46.47,43.57,29.63
cop20k_A,2665.11,90.11,90.11,30.50
nasasrb,70.22,26.35,24.91,30.85
net150,412.16,43.75,38.07,35.89
Goodwin_095,137.43,31.47,31.47,37.30
webbase-1M,1987.38,78.35,78.26,39.35
oilpan,80.54,41.56,33.09,41.45
smt,270.78,44.52,42.41,43.05
cant,121.85,37.74,37.74,46.10
pdb1HYS,98.99,54.79,40.01,49.86
TSOPF_FS_b300,105.02,73.11,44.53,50.47
TSOPF_FS_b300_c1,105.02,73.11,44.53,50.47
thread,180.97,48.98,47.23,51.27
ship_001,142.69,53.07,43.77,53.28
s3dkq4m2,98.83,68.94,44.10,55.52
Chebyshev4,456.96,62.45,62.45,61.80
consph,269.82,58.99,58.99,69.10
Ga10As10H30,1567.86,96.61,96.61,70.42
nd6k,161.27,94.92,69.88,79.00
pkustk12,288.67,84.38,75.78,86.33
shipsec1,322.33,78.24,75.91,89.95
PR02R,287.88,91.72,78.16,94.29
torso1,199.54,127.93,78.58,97.91
TSOPF_FS_b300_c2,131.34,138.40,78.86,100.55
gupta3,194.16,123.06,93.85,106.76
m_t1,265.21,103.97,90.99,111.99
x104,264.83,106.36,94.54,116.77
SiO2,2157.52,160.30,160.30,129.72
pwtk,263.64,137.77,107.12,133.98
pkustk14,1603.66,182.12,180.66,170.37
human_gene2,1571.41,210.68,210.68,206.83
af_shell10,1581.43,642.28,495.69,608.54
