Matrix Name,Feature Extraction,LightGBM Inference,Format Conversion,FlexSpGEMM Coversion Time,TileSpGEMM Conversion Time,FlexSpGEMM Runtime
a5esindl,15.440000,3.442656,44.850000,63.732656,25.040000,15.210000
rajat18,35.440000,3.546987,57.600000,96.586987,68.070000,37.890000
mult_dcop_03,22.670000,16.294259,45.220000,84.184259,34.940000,29.310000
mult_dcop_01,24.340000,10.458127,47.240000,82.038127,38.760000,29.780000
mult_dcop_02,24.260000,16.114017,41.980000,82.354017,38.670000,29.600000
hangGlider_5,8.430000,2.660101,37.560000,48.650101,24.270000,10.010000
hangGlider_4,9.940000,59.155825,40.180000,109.275825,21.100000,9.560000
hangGlider_3,7.730000,16.239709,21.930000,45.899709,16.270000,8.240000
rajat25,31.260000,2.452028,55.300000,89.012028,69.570000,40.720000
rajat28,30.510000,2.259500,63.720000,96.489500,68.600000,40.960000
rajat20,31.010000,2.223289,58.130000,91.363289,67.540000,40.830000
rajat16,33.040000,10.086000,64.050000,107.176000,68.650000,41.290000
rajat17,31.550000,7.693726,56.150000,95.393726,64.800000,39.990000
mac_econ_fwd500,33.010000,15.360127,313.040000,361.410127,44.890000,5.490000
a0nsdsil,17.360000,16.394681,40.000000,73.754681,24.330000,9.950000
a2nnsnsl,19.020000,9.908776,44.280000,73.208776,24.180000,10.320000
webbase-1M,88.340000,7.854552,2266.820000,2363.014552,687.160000,21.110000
mc2depi,40.460000,10.619438,3667.210000,3718.289438,84.310000,3.810000
scircuit,29.340000,2.257080,45.250000,76.847080,25.700000,6.430000
net150,35.030000,10.335952,34.730000,80.095952,33.900000,41.310000
net125,29.430000,14.227195,36.230000,79.887195,107.050000,33.240000
lowThrust_9,8.560000,17.032995,40.990000,66.582995,20.760000,3.520000
lowThrust_5,7.650000,15.864556,42.740000,66.254556,20.930000,3.440000
circuit_1,5.020000,12.713611,36.050000,53.783611,16.390000,2.840000
imagesensor,23.990000,2.262694,42.460000,68.712694,55.290000,3.830000
cop20k_A,64.100000,2.276586,75.260000,141.636586,40.570000,59.870000
pkustk12,62.730000,9.030515,88.910000,160.670515,155.240000,83.730000
qa8fk,14.260000,16.114847,42.770000,73.144847,22.330000,1.980000
qa8fm,13.790000,14.188180,41.180000,69.158180,19.570000,1.810000
c-43,8.790000,14.102453,41.620000,64.512453,18.010000,4.120000
conf5_4-8x8-05,15.440000,4.257736,45.520000,65.217736,22.850000,3.200000
bbmat,11.910000,16.232724,44.770000,72.912724,17.230000,2.780000
Goodwin_095,19.490000,1.131092,46.450000,67.071092,24.100000,4.610000
