Matrix Name,Type,Compression Rate,FlexSpGEMM GFLOPS,cuSPARSE GFLOPS,HSMU-SpGEMM GFLOPS,spECK GFLOPS,TileSpGEMM GFLOPS
a5esindl,AA,1.0021934980,23.030000,8.704411,18.526005,14.630000,18.810000
rajat18,AA,1.0029695886,46.420000,7.781227,,24.040000,22.980000
mult_dcop_03,AA,1.0037309530,35.440000,7.836875,,27.100000,22.280000
mult_dcop_01,AA,1.0037319554,34.870000,7.834112,,27.780000,22.140000
mult_dcop_02,AA,1.0037319554,35.090000,7.839304,,4.690000,22.130000
hangGlider_5,AA,1.0064849175,40.520000,8.371812,17.707712,32.710000,24.500000
hangGlider_4,AA,1.0065505282,40.070000,8.574480,16.678577,26.180000,23.340000
hangGlider_3,AA,1.0086134206,20.230000,8.541089,17.429947,24.380000,16.800000
rajat18,AAT,1.0117502263,45.930000,7.804039,,23.290000,23.000000
mult_dcop_03,AAT,1.0125872796,35.270000,7.874924,,27.000000,22.030000
mult_dcop_01,AAT,1.0125884363,34.950000,7.871334,,27.110000,21.990000
mult_dcop_02,AAT,1.0125884363,34.790000,7.873576,,27.550000,21.870000
rajat25,AA,1.0135446149,44.650000,7.826182,,24.800000,28.750000
rajat28,AA,1.0135446149,44.390000,4.620315,,30.070000,28.960000
rajat25,AAT,1.0135575606,43.900000,5.927525,,8.040000,28.210000
rajat28,AAT,1.0135575606,43.490000,7.797881,,25.830000,28.700000
rajat20,AA,1.0140634944,44.300000,7.801647,,26.900000,23.170000
rajat20,AAT,1.0140766228,43.590000,7.774672,,26.950000,7.910000
rajat16,AA,1.0146250323,43.750000,7.829883,,23.150000,7.510000
rajat17,AA,1.0146250323,45.170000,7.835682,,22.810000,22.210000
rajat16,AAT,1.0146394418,43.730000,5.152192,,7.730000,23.100000
rajat17,AAT,1.0146394418,46.300000,7.825741,,23.010000,22.970000
webbase-1M,AAT,1.0475296586,26.190000,,11.957256,12.690000,10.280000
mac_econ_fwd500,AA,1.1270709671,2.720000,9.632756,6.896993,3.690000,1.770000
a0nsdsil,AA,1.1451509187,40.210000,7.919626,15.366401,11.820000,23.900000
a2nnsnsl,AA,1.1612653454,35.270000,8.854216,8.320079,11.580000,23.280000
mc2depi,AAT,1.2309425121,3.940000,10.013939,6.666583,3.940000,4.380000
webbase-1M,AA,1.3602324394,6.560000,10.259602,2.775085,4.110000,6.700000
mc2depi,AA,1.5996486434,4.320000,10.290227,7.095622,4.800000,5.080000
scircuit,AA,1.6613253168,2.670000,10.129963,6.589578,4.650000,2.210000
scircuit,AAT,1.6613306996,2.310000,9.876353,6.588185,4.660000,2.220000
mac_econ_fwd500,AAT,1.6701442956,4.260000,11.507493,11.486382,5.540000,0.190000
net150,AA,1.9629540005,22.570000,12.123000,16.831900,27.710000,23.330000
net125,AA,1.9640679097,20.650000,12.324407,19.531281,27.600000,20.510000
lowThrust_9,AA,2.0244821957,56.560000,9.243721,27.017851,21.280000,54.280000
lowThrust_5,AA,2.0273000532,46.650000,9.388816,24.155611,23.970000,48.850000
circuit_1,AAT,2.1441007598,11.300000,,,8.500000,7.230000
circuit_1,AA,2.1457951318,9.980000,,,8.520000,7.160000
imagesensor,AAT,3.8803182266,15.410000,18.975723,23.099535,15.500000,7.900000
imagesensor,AA,3.8803182266,16.340000,19.055262,23.350391,15.470000,10.440000
cop20k_A,AA,4.2706811186,2.670000,,30.687176,18.430000,2.870000
pkustk12,AA,5.6454325027,63.970000,,21.736860,35.450000,66.840000
qa8fk,AA,5.8299680501,41.290000,12.262431,37.412350,23.680000,31.310000
qa8fm,AA,5.8299680501,45.910000,12.236173,38.300919,23.690000,29.940000
c-43,AA,5.9084260747,28.720000,9.095272,13.095236,26.790000,18.690000
conf5_4-8x8-05,AA,6.8513513514,45.980000,12.084408,46.598373,26.500000,40.080000
conf5_4-8x8-05,AAT,6.9452054795,46.460000,12.306204,46.790627,26.610000,41.920000
bbmat,AA,8.3439507986,67.730000,20.163492,45.698185,31.900000,56.350000
Goodwin_095,AA,8.6033977532,55.100000,12.894516,55.574436,34.690000,51.390000
Goodwin_071,AA,8.6103179313,53.720000,12.659611,51.908588,34.740000,46.940000
Goodwin_095,AAT,8.6325711535,57.370000,12.970636,54.930008,34.930000,52.160000
Goodwin_071,AAT,8.6484342526,50.750000,12.649283,50.819408,34.800000,47.370000
ted_A,AA,8.7419609514,38.990000,13.222439,26.103472,29.690000,30.230000
ted_A_unscaled,AA,8.7419609514,36.730000,13.102235,25.969215,30.180000,28.890000
bbmat,AAT,10.0985033563,97.750000,1.237530,36.664833,41.280000,69.700000
ted_AB,AA,10.7287157153,54.650000,17.079152,34.329956,34.490000,41.430000
ted_AB_unscaled,AA,10.7287157153,55.050000,17.300321,34.453983,34.580000,31.130000
rim,AAT,11.4881998113,59.610000,16.899100,22.292124,39.990000,50.660000
rim,AA,11.7594480128,49.760000,16.647858,47.481762,42.440000,40.770000
Kuu,AA,12.2382231051,36.290000,13.630711,31.620186,37.730000,23.890000
af_shell10,AA,12.8967248651,130.220000,26.447295,84.042259,61.120000,87.520000
ted_A,AAT,13.6632511617,51.550000,15.508864,32.692406,38.590000,36.270000
ted_A_unscaled,AAT,13.6632511617,50.970000,15.535631,32.607517,38.520000,38.570000
Ga10As10H30,AA,14.6110132522,50.040000,15.129034,48.121681,47.760000,43.860000
Chebyshev4,AA,14.6820928361,45.640000,7.992500,,7.810000,32.320000
PR02R,AAT,14.7365262146,96.150000,19.416452,84.908394,53.660000,73.580000
ted_AB,AAT,14.8933363678,50.300000,17.833138,39.419125,42.330000,38.520000
ted_AB_unscaled,AAT,14.8933363678,49.920000,17.531938,40.164726,42.390000,39.380000
tube1,AA,15.1559852295,55.790000,14.307798,53.887432,48.070000,40.090000
PR02R,AA,15.2379633893,94.620000,19.422620,79.518974,54.580000,74.500000
g3rmt3m3,AA,15.2525369380,23.110000,10.665845,6.297125,28.160000,16.140000
